Lemma,Gloss,Arabic lemmas (or gap),Arabic Gloss
"mountain, mount",a land mass that projects well above its surroundings; higher than a hill,جبل,كتلة أرضية ترتفع بشكل كبير فوق ما يحيط بها؛ أعلى من التل.
"pass, hand, reach, pass on, turn over, give",place into the hands or custody of,تمرير,ضع في أيدي أو وصاية.
"navel, umbilicus, bellybutton, omphalos, omphalus",scar where the umbilical cord was attached,السُرة,النتوء أو التجويف الموجود في وسط البطن، والذي يكون علامة على المكان الذي كان يرتبط فيه الحبل السري بجسم الجنين أثناء الحمل.
bird,warm-blooded egg-laying vertebrates characterized by feathers and forelimbs modified as wings,طائر,فقاريات دافئة الدم تتكاثر بالبيض وتتميز بالريش والأطراف الأمامية المعدلة كأجنحة
"abdomen, venter, stomach, belly",the region of the body of a vertebrate between the thorax and the pelvis,البطن,المنطقة من جسم الفقاريات بين الصدر والحوض
old,of long duration; not new,قديم,ذو مدة طويلة؛ ليس جديدًا.
"natural elevation, elevation",a raised or elevated geological formation,ارتفاع,تشكيل جيولوجي مرتفع أو مرتفع.
"back, dorsum",the posterior part of a human (or animal) body from the neck to the end of the spine,ظهر,الجزء الخلفي من جسم الإنسان (أو الحيوان) من الرقبة إلى نهاية العمود الفقري.
"wish, wish well",feel or express a desire or hope concerning the future or fortune of,يتمنى,يشعر أو يعبر عن رغبة أو أمل يتعلق بالمستقبل أو الحظ.
"name, call",assign a specified (usually proper) proper name to,يسمّي,إعطاء أو تخصيص اسم لشخص أو شيء
nest,a structure in which animals lay eggs or give birth to their young,عش,هيكل أو مكان تستخدمه الطيور أو الحيوانات الأخرى لوضع البيض أو تربية الصغار.
"desire, want",feel or have a desire for; want strongly,يريد,الشعور القوي أو الحاجة لشيء معين، سواء كان ذلك شيئًا ماديًا أو معنويًا.
new,not of long duration; having just (or relatively recently) come into being or been made or acquired or discovered,جديد,شيء لم يكن موجودًا سابقًا أو تم إنتاجه مؤخرًا.
leg,a structure in animals that is similar to a human leg and used for locomotion,ساق,الجزء من جسم الإنسان أو الحيوان الذي يمتد من الفخذ إلى الكاحل، ويستخدم للمشي والدعم.
"mail, post, send",cause to be directed or transmitted to another place,يُرسل,عملية إرسال شيء ما، سواء كان رسالة، طرد، أو معلومات.
thigh,the part of the leg between the hip and the knee,فخذ,هو الجزء العلوي من الساق، الذي يمتد من الورك إلى الركبة.
"fairytale, fairy tale, fairy story",a story about fairies; told to amuse children,حكاية خرافية,هي قصة قصيرة تتضمن عناصر سحرية وغالبًا ما تتحدث عن شخصيات مثل الجن، والأقزام، والأميرات، وتكون عادةً موجهة للأطفال.
"hide, pelt, skin",body covering of a living animal,جلد ,غطاء الجسم لحيوان حي
"foot, human foot, pes",the part of the leg of a human being below the ankle joint,قدم,الجزء من ساق الإنسان أسفل مفصل الكاحل.
arm,a human limb; technically the part of the superior limb between the shoulder and the elbow but commonly used to refer to the whole superior limb,ذراع,جزء من جسم الإنسان أو الحيوان الذي يمتد من الكتف إلى المعصم، ويستخدم عادةً في الحركة والرفع.
"feather, plume, plumage",the light horny waterproof structure forming the external covering of birds,ريش,الهيكل الخفيف القرني المقاوم للماء الذي يشكل الغلاف الخارجي للطيور.
"cargo, lading, freight, load, loading, payload, shipment, consignment",goods carried by a large vehicle,شحنة,البضائع أو السلع التي يتم نقلها بواسطة وسيلة نقل كبيرة.
knock,rap with the knuckles,يطرق,يطرق بأطراف الأصابع.
old,(used especially of persons) having lived for a relatively long time or attained a specific age,قديم,(تُستخدم خاصةً للأشخاص) عاشت لفترة طويلة نسبيًا أو بلغت عمرًا معينًا.
"hand, manus, mitt, paw",the (prehensile) extremity of the superior limb,يد,الطرف (القبضي) من الطرف العلوي.
"palm, thenar",the inner surface of the hand from the wrist to the base of the fingers,راحة اليد,السطح الداخلي لليد من المعصم إلى قاعدة الأصابع.
"opening, gap",an open or empty space in or between things,فتحة,مكان أو مساحة مفتوحة في شيء ما، مثل باب أو نافذة، أو أي مكان يسمح بالوصول.
finger,any of the terminal members of the hand (sometimes excepting the thumb),إصبع,تشير إلى أحد الأجزاء الخمسة التي تتكون منها اليد، وهي الأجزاء التي تُستخدم في الإمساك واللمس.
yesterday,on the day preceding today,أمس,اليوم الذي سبق اليوم الحالي.
sell,exchange or deliver for money or its equivalent,يبيع,عملية تبادل شيء ما مقابل المال أو منفعة أخرى.
behind,in or to or toward the rear,خلف,الموقع الذي يكون في الجزء الخلفي من شيء ما أو شخص ما.
"fence, fencing",a barrier that serves to enclose an area,سياج,حاجز يُستخدم لتحديد منطقة.
add,"make an addition  (to); join or combine or unite with others; increase the quality, quantity, size or scope of",يضيف,إجراء إضافة (إلى)؛ الانضمام أو الجمع أو الاتحاد مع الآخرين؛ زيادة الجودة أو الكمية أو الحجم أو النطاق.
"day, twenty-four hours, twenty-four hour period, 24-hour interval, solar day, mean solar day",time for Earth to make a complete rotation on its axis,يوم,الوقت الذي تستغرقه الأرض لإكمال دورة كاملة حول محورها.
"part, piece",a portion of a natural object,جزء,جزء من شيء أكبر.
"young, immature",(used of living things especially persons) in an early period of life or development or growth,غير ناضج,(يستخدم للأشياء الحية، وخاصة الأشخاص) في مرحلة مبكرة من الحياة أو التطور أو النمو.
"brother, blood brother",a male with the same parents as someone else,أخ بالنسب,ذكر من نفس الوالدين
"chew the fat, shoot the breeze, chat, confabulate, confab, chitchat, chatter, chaffer, natter, gossip, jaw, claver, visit",talk socially without exchanging too much information,يدردش، يثرثر,أحمد وصديقه يدردشان عن أمور الحياة والدراسة.
table,a piece of furniture having a smooth flat top that is usually supported by one or more vertical legs,طاولة,قطعة أثاث مسطحة تُستخدم عادةً لوضع الأشياء عليها أو لتناول الطعام.
"sleep, slumber",a natural and periodic state of rest during which consciousness of the world is suspended,نوم,الحالة الطبيعية للراحة التي يدخل فيها الجسم والعقل حيث تكون الأنشطة الجسدية والعقلية في حالة خمول.
"travel, go, move, locomote","change location; move, travel, or proceed",يتنقل,تغيير الموقع؛ يتحرك، يسافر، أو يتقدم.
"surviving, living",still in existence,يعيش,الاستمرار في الحياة أو الوجود
understand,know and comprehend the nature or meaning of,يفهم,استيعاب معنى شيء ما أو القدرة على إدراكه أو استيعابه بوضوح.
"pit, cavity",a sizeable hole (usually in the ground),حفرة,حفرة عميقة أو منخفض في الأرض.
whistle,utter or express by whistling,يصفر,يصدر صوت الصفير باستخدام الفم أو جهاز صفير
laughter,the activity of laughing; the manifestation of joy or mirth or scorn,ضحك,الصوت أو الفعل الذي يصدره الشخص عند الشعور بالمرح أو السعادة.
"knee, knee joint, human knee, articulatio genus, genu",hinge joint in the human leg connecting the tibia and fibula with the femur and protected in front by the patella,مفصل الركبة,مفصل مفصلي في الساق البشرية يربط بين عظمتي القصبة والشظية مع عظمة الفخذ، وهو محمي من الأمام بواسطة الرضفة.
"understand, read, interpret, translate",make sense of a language,يفهم,يفهم لغة ما.
precipice,a very steep cliff,هاوية,منحدر حاد جداً
pay,"give money, usually in exchange for goods or services",يدفع,إعطاء المال أو التعويض مقابل شيء ما أو خدمة
walk,the act of walking somewhere,مشي,فعل المشي إلى مكان ما.
"sunday, lord's day, dominicus, sun",first day of the week; observed as a day of rest and worship by most Christians,يوم الاحد,اليوم الأول من الأسبوع
"groan, moan, sough","indicate pain, discomfort, or displeasure",يئن,تشير إلى الألم أو الانزعاج أو عدم الرضا.
"know, cognize, cognise",be cognizant or aware of a fact or a specific piece of information; possess knowledge or information about,يدرك,يكون مدركًا أو واعيًا لحقيقة أو معلومة معينة؛ يمتلك المعرفة أو المعلومات حول.
"tuesday, tues",the third day of the week; the second working day,الثلاثاء,اليوم الثالث من الأسبوع
"roar, howl","make a loud noise, as of wind, water, or vehicles",يُزَمْجِر ,بدأت الرياح تعوي مع اقتراب العاصفة.
"monday, mon",the second day of the week; the first working day,الإثنين,اليوم الثاني من الأسبوع
"discontinue, stop, cease, give up, quit, lay off",put an end to a state or an activity,يتوقف,وضع حدًا لحالة أو نشاط
"open, unfastened",affording unobstructed entrance and exit; not shut or closed,مفتوح,حالة شيء غير مغلق أو غير مربوط.
"thursday, th",the fifth day of the week; the fourth working day,الخميس,اليوم الخامس من الأسبوع
"pay, pay off, make up, compensate",do or give something to somebody in return,يدفع,فعل أو إعطاء شيء لشخص ما مقابل شيء آخر.
"shut, unopen, closed",not open,مغلق,غير مفتوح
"wednesday, midweek, wed",the fourth day of the week; the third working day,الأربعاء,اليوم الرابع من الأسبوع
lock,a fastener fitted to a door or drawer to keep it firmly closed,قفل,يمكن استخدامها للإشارة إلى جهاز يُستخدم لإغلاق الأبواب أو الصناديق، أو للإشارة إلى نظام أمان.
"saturday, sabbatum, sat",the seventh and last day of the week; observed as the Sabbath by Jews and some Christians,السبت,اليوم السابع من الأسبوع و يُشير إلى مفهوم يوم الراحة أو العطلة في الديانات المختلفة، خاصة في اليهودية والمسيحية.
"friday, fri",the sixth day of the week; the fifth working day,الجمعة,اليوم السادس من الأسبوع
thunder,to make or produce a loud noise,رعد,أي صوت قوي أو عميق، أو يُستخدم بشكل مجازي للتعبير عن القوة أو الشدة.
expensive,high in price or charging high prices,مكلف,شيء يتطلب مبلغًا كبيرًا من المال لشرائه أو الحصول عليه
"noon, twelve noon, high noon, midday, noonday, noontide",the middle of the day,وقت الظهر,الوقت في منتصف اليوم
"morning, morn, morning time, forenoon",the time period between dawn and noon,وقت الصباح,الفترة الزمنية في الصباح،
"howl, wrawl, yammer, yowl","cry loudly, as of animals",يعوي,إصدار صوت عالٍ ومؤلم، وغالبًا ما يُستخدم لوصف الأصوات التي تصدرها الذئاب أو الحيوانات الأخرى
"learn, larn, acquire",gain knowledge or skills,يتعلم,اكتساب المعرفة أو المهارات من خلال الدراسة أو التجربة.
bark,make barking sounds,يُنبح,إصدار صوت عالي وصاخب، عادة ما يُستخدم لوصف الصوت الذي يصدره الكلاب.
rainbow,an arc of colored light in the sky caused by refraction of the sun's rays by rain,قوس قزح,ظاهرة طبيعية تظهر في السماء على شكل قوس ملون، يتكون من الضوء المنعكس والمنكسر من قطرات الماء في الهواء بعد المطر.
toe,one of the digits of the foot,إصبع القدم,إحدى الأجزاء الموجودة في القدم،
"cheap, inexpensive",relatively low in price or charging low prices,رخيص,يُباع بسعر منخفض
"evening, eve, even, eventide",the latter part of the day (the period of decreasing daylight from late afternoon until nightfall),وقت المساء,الفترة الزمنية التي تمتد من بعد الظهر حتى منتصف الليل، حيث يخف الضوء ويبدأ الليل.
"night, nighttime, dark",the time after sunset and before sunrise while it is dark outside,ليل,الفترة الزمنية التي تمتد من غروب الشمس حتى شروقها، حيث يكون الظلام سائدًا.
heel,the back part of the human foot,كعب,الجزء الخلفي من القدم، الذي يقع تحت الكعب، والذي يحمل وزن الجسم أثناء الوقوف والمشي.
milk,take milk from female mammals,يحلب,استخراج الحليب من ثدي الحيوانات مثل الأبقار أو الماعز
"run, go, pass, lead, extend","stretch out over a distance, space, time, or scope; run or extend between two points or beyond a certain point",يمتد ,يمتد على مسافة أو مساحة أو زمن أو نطاق؛ يمتد أو يتجاوز بين نقطتين أو يتجاوز نقطة معينة.
"go, go away, depart",move away from a place into another direction,يذهب,الانتقال من مكان إلى آخر
"king, male monarch, rex",a male sovereign; ruler of a kingdom,ملك,الرجل الذي يكون حاكمًا لبلد أو مملكة
"elbow, elbow joint, human elbow, cubitus, cubital joint, articulatio cubiti",hinge joint between the forearm and upper arm and the corresponding joint in the forelimb of a quadruped,مفصل الكوع,المفصل الذي يربط بين عظمة العضد وعظمتي الساعد، ويتيح حركة الانثناء والاستقامة.
"kiss, buss, osculate","touch with the lips or press the lips (against someone's mouth or other body part) as an expression of love, greeting, etc.",يقبّل,الضغط بالشفتين على شخص أو شيء كعلامة من المودة أو الحب أو الاحترام.
"address, speech",the act of delivering a formal spoken communication to an audience,خطاب,الحديث الرسمي أو الخطاب الذي يُلقى أمام جمهور
"ribbon, thread",any long object resembling a thin line,شريط,أي جسم طويل يشبه خطًا رفيعًا.
"lick, lap",pass the tongue over,يلعق,تمرير اللسان على سطح شيء ما
"week, hebdomad",any period of seven consecutive days,أسبوع,فترة زمنية تتكون من سبعة أيام
nail,horny plate covering and protecting part of the dorsal surface of the digits,ظفر,الجزء الصلب الموجود في نهاية أصابع اليدين والقدمين، ويُستخدم لحماية الأصابع.
"hunger, hungriness",a physiological need for food; the consequence of food deprivation,جوع,الشعور الفسيولوجي الذي يدفع الفرد إلى تناول الطعام
river,a large natural stream of water (larger than a creek),نهر,مجرى مائي طبيعي يتدفق عبر اليابسة، عادة ما يكون أكبر من الجدول وأصغر من البحر، ويحتوي على مياه عذبة.
"rock, stone",a lump or mass of hard consolidated mineral matter,صخرة,مادة صلبة تتكون من تجمع المعادن أو المواد المعدنية.
donate,give to a charity or good cause,يتبرع,تقديم شيء (مثل المال، أو الممتلكات، أو الوقت) لمؤسسة أو شخص يحتاج إليه، عادةً لأغراض خيرية أو غير ربحية.
fingernail,the nail at the end of a finger,GAP,
beautiful,delighting the senses or exciting intellectual or emotional admiration,جميل,وصف شيء أو شخص يتمتع بجاذبية أو مظهر مدهش يثير الإعجاب
"fine-looking, good-looking, better-looking, handsome, well-favored, well-favoured",pleasing in appearance especially by reason of conformity to ideals of form and proportion,وسيم,وصف شخص يتمتع بمظهر جذاب
rich,possessing material wealth,غني,شخص يمتلك الكثير من المال أو الممتلكات القيمة.
"remember, retrieve, recall, call back, call up, recollect, think",recall knowledge from memory; have a recollection,يتذكر,استحضار أو استرجاع المعلومات من الذاكرة.
poor,having little money or few possessions,فقير,شخص أو مجموعة تعاني من نقص في المال أو الموارد، أو حالة اقتصادية سيئة.
"forget, block, blank out, draw a blank",be unable to remember,ينسى,عدم القدرة على استرجاع معلومات أو أحداث سابقة من الذاكرة.
"catch, grab, take hold of",take hold of so as to seize or restrain or stop the motion of,يمسك,الاستيلاء على شيء ما أثناء حركته، أو الانتباه إلى شيء ما بسرعة.
sea,a division of an ocean or a large body of salt water partially enclosed by land,بحر,مساحة كبيرة من المياه المالحة، أصغر من المحيط، وغالبًا ما تحيط بها اليابسة من جوانب متعددة.
"seashore, coast, seacoast, sea-coast",the shore of a sea or ocean,ساحل البحر,المنطقة المحاذية للمحيط أو البحر
"stop, halt","come to a halt, stop moving",يتوقف,إنهاء الحركة أو النشاط، أو عدم الاستمرار في فعل شيء ما.
butterfly,diurnal insect typically having a slender body with knobbed antennae and broad colorful wings,فراشة,"حشرة ملونة من رتبة ""الحرشفيات""، تتميز بأجنحتها الكبيرة والجميلة، وتعيش غالبًا في الأماكن الزاهية مثل الحدائق."
"better, improve, amend, ameliorate, meliorate",to make better,يحسن,تحسين أو جعل شيء ما في حالة أفضل.
shore,the land along the edge of a body of water,شاطئ,الأرض على طول حافة المسطح المائي
leave,"go and leave behind, either intentionally or by neglect or forgetfulness",يغادر,الذهاب وترك شيء خلفك، إما عن قصد أو بسبب الإهمال أو النسيان
"price, terms, damage",the amount of money needed to purchase something,سعر,المبلغ المطلوب لشراء شيء ما
clay,a very fine-grained soil that is plastic when moist but hard when fired,طين,مادة طبيعية تتكون بشكل رئيسي من جزيئات صغيرة من الصخور والمعادن
worm,any of numerous relatively small elongated soft-bodied animals especially of the phyla Annelida and Chaetognatha and Nematoda and Nemertea and Platyhelminthes; also many insect larvae,دودة,كائن حي ينتمي إلى مجموعة متنوعة من الأنواع، تتسم بجسمها اللين والممدود، وعادةً ما تكون بدون هيكل عظمي.
"pine, pine tree, true pine",a coniferous tree,صنوبر,هو نوع من الأشجار التي تنتمي إلى عائلة الصنوبرية
"commercial enterprise, business enterprise, business",the activity of providing goods and services involving financial and commercial and industrial aspects,تجارة,النشاط المتعلق بتقديم السلع والخدمات الذي يتضمن الجوانب المالية والتجارية والصناعية.
"decay, crumble, delapidate",fall into decay or ruin,يتدهور,يتدهور أو ينهار.
sky,the atmosphere and outer space as viewed from the earth,السماء ,الفضاء الذي يحيط بالأرض ويظهر فوقنا.
"decompose, rot, molder, moulder",break down,يتحلل,يُنهي أو يتعطل
"bite, seize with teeth","to grip, cut off, or tear with or as if with the teeth or jaws",يعض,استخدام الأسنان للضغط أو الاختراق في شيء ما.
"sister, sis",a female person who has the same parents as another person,أخت,لدى الشخص أخوات من نفس الأبوين أو من أب أو أم واحد فقط.
press,exert pressure or force to or upon,يضغط,تطبيق قوة أو ضغط على شيء ما باستخدام اليد أو أداة
"pull, draw, force",cause to move by pulling,يسحب,يجعل الشيء يتحرك عن طريق السحب.
right,being or located on or directed toward the side of the body to the east when facing north,يمين,الجهة التي تكون على الجانب الأيمن من الشخص عندما يواجه الشمال.
"transport, carry","move while supporting, either in a vehicle or in one's hands or on one's body",يحمل,حمل شيء أو شخص بيد أو على الكتف أو بأي وسيلة أخرى
spark,a small fragment of a burning substance thrown out by burning material or by friction,شرارة,نقطة صغيرة من النار أو الضوء تنتج عن احتكاك أو انفجار، وغالبًا ما تكون نتيجة لاحتراق مادة.
sweet,having or denoting the characteristic taste of sugar,حلو,يمتلك أو يدل على الطعم المميز للسكر.
"nose, olfactory organ",the organ of smell and entrance to the respiratory tract; the prominent part of the face of man or other mammals,أنف,عضو الشم ومدخل الجهاز التنفسي؛ الجزء البارز من وجه الإنسان أو الثدييات الأخرى.
left,being or located on or directed toward the side of the body to the west when facing north,يسار,الاتجاه الذي يكون على الجانب الأيسر من الشخص عندما يواجه الشمال.
sour,having a sharp biting taste,حامض,يمتلك طعمًا حادًا لاذعًا.
"spring, fountain, outflow, outpouring, natural spring",a natural flow of ground water,ينابيع,تدفق طبيعي للمياه الجوفية.
"pluck, plunk, pick",pull lightly but sharply with a plucking motion,يقطف,يسحب برفق لكن بحركة حادة مثل القطف.
"chin, mentum",the protruding part of the lower jaw,ذقن,الجزء البارز من الفك السفلي.
star,any celestial body visible (as a point of light) from the Earth at night,نجم,جسم سماوي يتكون من غاز متألق، يُنتج الضوء والحرارة
force,a powerful effect or influence,قوة,التأثير أو الجهد الذي يُستخدم لتحريك أو تغيير حركة جسم ما.
"face, human face",the front of the human head from the forehead to the chin and ear to ear,وجه,الجزء الأمامي من الرأس، الذي يحتوي على العينين، الأنف، الفم، والأذنين.
"push, force",move with force,يدفع,استخدام القوة لتحريك شيء ما
"lug, tote, tug",carry with difficulty,GAP,
read,interpret something that is written or printed,يقرأ,تفسير الكلمات المكتوبة أو المطبوعة وفهم المعاني منها.
"conserve, preserve, maintain, keep up","keep in safety and protect from harm, decay, loss, or destruction",يحفظ,حماية شيء ما من التلف أو التغيير
"brow, forehead",the part of the face above the eyes,جبهة,الجزء العلوي من الوجه بين خط الشعر والحواجب.
cheek,either side of the face below the eyes,خد, الجزء اللين من الوجه الذي يقع على الجانبين بين العينين والفم.
"dry, dry out",become dry or drier,يجف,إزالة الرطوبة أو الماء من شيء ما، مما يؤدي إلى تحويله من حالة رطبة إلى حالة جافة.
sun,a typical star that is the source of light and heat for the planets in the solar system,شمس,النجم الذي يقع في مركز نظامنا الشمسي، ويُعتبر المصدر الرئيسي للضوء والحرارة على كوكب الأرض.
"fir, fir tree, true fir",any of various evergreen trees of the genus Abies; chiefly of upland areas,شجرة التنوب,نوع من الأشجار الصنوبرية التي تنتمي إلى عائلة الصنوبريات، وتتميز بأوراقها الإبرية وأخشابها القوية.
"rock, sway, shake",move back and forth  or sideways,يتأرجح,التحرك ذهابًا وإيابًا أو جانبًا إلى آخر
"think, cogitate, cerebrate","use or exercise the mind or one's power of reason in order to make inferences, decisions, or arrive at a solution or judgments",يفكر,استخدام أو ممارسة العقل أو القدرة على التفكير من أجل استنتاج أو اتخاذ قرارات أو الوصول إلى حل أو أحكام.
"rock, sway",cause to move back and forth,يتأرجح,التحرك ذهابًا وإيابًا
"round, circular",having a circular shape,دائري,الشكل الذي لا يحتوي على زوايا أو حواف
"between, 'tween",in between,بين,الموقع أو الحالة التي تقع في الوسط بين شيئين أو أكثر.
"find, regain",come upon after searching; find the location of something that was missed or lost,يجد,ايجاد  شيء ما بعد البحث عنه أو فقده
"swamp, swampland",low land that is seasonally flooded; has more woody plants than a marsh and better drainage than a bog,مستنقع,منطقة منخفضة تحتوي على تربة رطبة وماء، وغالبًا ما تكون مغطاة بالنباتات المائية
chair,"a seat for one person, with a support for the back",كرسي,قطعة من الأثاث مصممة للجلوس عليها، عادةً ما تحتوي على مقعد، وظهر، وأحيانًا ذراعين.
familiar,well known or easily recognized,مألوف,يكون معروفًا أو متعارفًا عليه
"history, account, chronicle, story",a record or narrative description of past events,تاريخ,سجل أو وصف سردي للأحداث الماضية.
"mind, head, brain, psyche, nous",that which is responsible for one's thoughts and feelings; the seat of the faculty of reason,عقل,هو مسؤول عن أفكار الفرد ومشاعره
"walk, take the air",take a walk; go for a walk; walk for pleasure,يمشي,اذهب للمشي
"calculate, cipher, cypher, compute, work out, reckon, figure",make a mathematical calculation or computation,يحسب,إجراء العمليات الرياضية أو الحسابية لإيجاد قيمة معينة.
tea,a beverage made by steeping tea leaves in water,شاي,مشروب يتم تحضيره من أوراق شجرة الشاي المنقوعة في الماء الساخن.
"floor, flooring",the inside lower horizontal surface (as of a room or hallway),أرضية,السطح الأفقي الذي يمشي عليه الناس في مبنى أو غرفة.
trail,a track or mark left by something that has passed,درب,أثر أو علامة تُترك بواسطة شيء ما مرّ.
"health, wellness",a healthy state of wellbeing free from disease,صحة,حالة الجسم والعقل، وتتعلق بوجود توازن جيد بين الجوانب الجسدية والعاطفية والاجتماعية.
water,a fluid necessary for the life of most animals and plants,ماء,سائل شفاف عديم اللون والطعم والرائحة في حالته النقية، يُعتبر أساسيًا للحياة.
disease,an impairment of health or a condition of abnormal functioning,مرض,حالة غير طبيعية في الجسم أو العقل، تُسبب اضطرابًا في الوظائف الطبيعية.
"universe, existence, creation, world, cosmos, macrocosm",everything that exists anywhere,الكون,كل شيء موجود في أي مكان.
"crawl, creep",move slowly; in the case of people or animals with the body near the ground,زحف,الحركة على اليدين والركبتين
"apt, clever",mentally quick and resourceful,ذكي,سريع البديهة وذو موارد عقلية.
grow,increase in size by natural process,ينمو,عملية زيادة الحجم أو الكمية، وتحدث بشكل طبيعي في الكائنات الحية مثل النباتات والحيوانات
"ability, power",possession of the qualities (especially mental qualities) required to do something or get something done,قدرة ,المهارة أو الكفاءة للقيام بشيء معين.
"year, twelvemonth, yr",a period of time containing 365 (or 366) days,سنة,وحدة زمنية تعتمد على مدة دوران الأرض حول الشمس دورة كاملة، وتُقدر بحوالي 365 يومًا في السنة العادية و366 يومًا في السنة الكبيسة.
"child, kid, youngster, minor, shaver, nipper, small fry, tiddler, tike, tyke, fry, nestling",a young person of either sex,طفل, إنسان صغير في مرحلة عمرية تسبق سن البلوغ، ويعتمد على البالغين للعناية به وتوجيهه.
tremble,move or jerk quickly and involuntarily up and down or sideways,يرتجف,التحرك أو الارتجاج بسرعة وبدون إرادة، لأعلى وأسفل أو إلى الجانبين.
"shudder, shiver, throb, thrill","tremble convulsively, as from fear or excitement",يرتعش,يرتعش بتشنج، كما يحدث بسبب الخوف أو الإثارة.
"measure, mensurate, measure out","determine the measurements of something or somebody, take measurements of",يقيس,تحديد قياسات شيء أو شخص ما
"son, boy",a male human offspring,ابن,ذكر صغير أو شاب، أو كصفة لعلاقة شخص بوالديه.
dust,fine powdery material such as dry earth or pollen that can be blown about in the air,غبار,جزيئات صغيرة جداً تتكون من مواد مختلفة، مثل التراب أو أجزاء من الأنسجة أو الطلاء، وغالبًا ما تتجمع في الأماكن المغلقة أو على الأسطح.
air,a mixture of gases (especially oxygen) required for breathing; the stuff that the wind consists of,هواء,خليط من الغازات التي تشكل الغلاف الجوي للأرض، والذي يتكون بشكل أساسي من الأكسجين والنيتروجين، ويعتبر ضروريًا للحياة على كوكب الأرض.
people,(plural) any group of human beings (men or women or children) collectively,ناس,جمع يشير إلى مجموعة من الأفراد أو البشر، يمكن أن يشير إلى أفراد من نفس المجتمع أو مجموعة عرقية أو ثقافية.
"thread, yarn",a fine cord of twisted fibers (of cotton or silk or wool or nylon etc.) used in sewing and weaving,خيط,خيط رفيع من ألياف ملتوية (من القطن أو الحرير أو الصوف أو النايلون وغيرها) يُستخدم في الخياطة والنسيج.
"body, organic structure, physical structure",the entire structure of an organism (especially an animal or human being),جسم,مجموعة الأنسجة والأعضاء التي تشكل كائنًا حيًا.
"stir, shift, budge, agitate",move very slightly,تحرك,تغيير الوضع أو الموضع بشكل طفيف.
"calendar month, month",one of the twelve divisions of the calendar year,شهر,وحدة زمنية تتكون من حوالي 30 أو 31 يومًا، تُستخدم في التقويم لتقسيم السنة إلى أجزاء.
"january, jan",the first month of the year; begins 10 days after the winter solstice,يناير,الشهر الأول من السنة في التقويم الميلادي، ويحتوي عادةً على 31 يومًا.
"earth, ground",the loose soft material that makes up a large part of the land surface,أرض,الطبقة السطحية من الأرض التي تحتوي على المواد العضوية والمعدنية
"stay, stay on, continue, remain","continue in a place, position, or situation",استمر,استمر في مكان أو وضع أو حالة
"february, feb",the month following January and preceding March,فبراير,الشهر الثاني من السنة في التقويم الميلادي
"march, mar",the month following February and preceding April,مارس,الشهر الثالث من السنة في التقويم الميلادي
"april, apr",the month following March and preceding May,أبريل,الشهر الرابع من السنة في التقويم الميلادي
may,the month following April and preceding June,مايو,الشهر الخامس من السنة في التقويم الميلادي
"capture, catch","capture as if by hunting, snaring, or trapping",أسر,أسر كما لو كان بالصيد أو الشباك أو الفخ.
june,the month following May and preceding July,يونيو,الشهر السادس من السنة في التقويم الميلادي
july,the month following June and preceding August,يوليو,الشهر السابع من السنة في التقويم الميلادي
tasty,pleasing to the sense of taste,لذيذ,يعبر عن طعم ممتع ومحبوب، يثير الشهية.
"august, aug",the month following July and preceding September,أغسطس,الشهر الثامن من السنة في التقويم الميلادي
"hang, hang up",cause to be hanging or suspended,علق,وضع شيء في مكان مرتفع أو في وضع عمودي
"september, sep, sept",the month following August and preceding October,سبتمبر,الشهر التاسع من السنة في التقويم الميلادي
bitter,one of the four basic taste sensations; sharp and disagreeable; like the taste of quinine,مر,طعم غير مستحب، وغالبًا ما يكون شديد الحدة أو الحموضة، مثل طعم بعض الأدوية أو النباتات.
hang,be suspended or hanging,علق,وضع شيء في وضع عمودي أو مرتفع، أو تعليق شيء في مكان معين.
"october, oct",the month following September and preceding November,أكتوبر,الشهر العاشر من السنة في التقويم الميلادي
"november, nov",the month following October and preceding December,نوفمبر,الشهر الحادي عشر من السنة في التقويم الميلادي
"december, dec",the last (12th) month of the year,ديسمبر,الشهر الثاني عشر والأخير من السنة في التقويم الميلادي
crow,black birds having a raucous call,غربان,طائر ذكي ذو ريش أسود
win,be the winner in a contest or competition; be victorious,فاز,الحصول على النجاح أو التفوق في مسابقة أو منافسة أو تحدي.
spirit,the vital principle or animating force within living things,روح,الجوهر غير المادي للكائن، أو يمكن أن تشير إلى الحالة النفسية أو المزاج
fat,having much flesh (especially fat),سمين,شيء يحتوي على نسبة عالية من الدهون
"ripen, mature",cause to ripen or develop fully,نضج,تحول شيء إلى حالة ناضجة
"thin, lean",lacking excess flesh,نحيف,يصف شيء أو شخص له حجم صغير أو وزن قليل.
different,unlike in nature or quality or form or degree,مختلف ,وصف شيء أو شخص يختلف عن آخر، سواء في الشكل أو الخصائص أو الآراء.
fork,cutlery used for serving and eating food,شوكة,أداة طعام تتكون عادةً من عدة أسنان، تُستخدم لتناول الطعام أو تحضيره.
walk,use one's feet to advance; advance by steps,مشى,الحركة على الأقدام بطريقة طبيعية، عادةً بمعدل بطيء إلى متوسط.
"ring, band",jewelry consisting of a circlet of precious metal (often set with jewels) worn on the finger,خاتم,حلقة مصنوعة من المعدن أو الأحجار الكريمة، تُرتدى في الإصبع كزينة أو رمز.
turn,"change orientation or direction, also in the abstract sense",دار,تغيير الاتجاه أو الموضع، سواء كان ذلك جسمًا أو موقفًا.
