Lemma,Gloss,Persian lemmas (or gap),Persian Gloss
"dry, dry out",become dry or drier,خشک شدن,خشک و بدون آب شدن یا خشک‌تر و بدون آب تر شدن
sun,a typical star that is the source of light and heat for the planets in the solar system,"خورشید، آفتاب",یک ستاره که منبع نور و گرمای سیارات منظومه شمسی است
"fir, fir tree, true fir",any of various evergreen trees of the genus Abies; chiefly of upland areas,"صنوبر، درخت صنوبر",نوعی درخت سبز دارای برگ‌های ضخیم و کوتاه و مخروط‌های باریک و دراز که در مناطق مرتفع می‌روید
"rock, sway, shake",move back and forth or sideways,"جنبیدن، لرزیدن",جلو و عقب یا به طرفین حرکت کردن
"think, cogitate, cerebrate","use or exercise the mind or one's power of reason in order to make inferences, decisions, or arrive at a solution or judgments","فکر کردن، اندیشیدن، تفکر کردن","استفاده از ذهن یا قدرت استدلال برای استنباط، تصمیم‌گیری، رسیدن به راه حل یا قضاوت"
"rock, sway",cause to move back and forth,"تکان دادن، جنباندن، تاب دادن",دلیل و بانی جلو و عقب شدن بودن
"round, circular",having a circular shape,"گرد، مدور، دایره‌ای، دایره‌وار",دارای شکلی مدور
"between, 'tween",in between,"بین، میان، مابین",مکان واقع در فاصله دو چیز
"find, regain",come upon after searching; find the location of something that was missed or lost,"پیدا کردن، یافتن",به دست آوردن چیزی که گم شده پس از جست و جو
"swamp, swampland",low land that is seasonally flooded; has more woody plants than a marsh and better drainage than a bog,مرداب,زمین پست که به صورت فصلی دچار سیل می‌شود
chair,"a seat for one person, with a support for the back",gap,نشیمنگاهی برای انسان که دارای یک پشتی یا تکیه‌گاه است
familiar,well known or easily recognized,آشنا,از قبل شناخته شده یا به راحتی قابل تشخیص
"history, account, chronicle, story",a record or narrative description of past events,"تاریخ، تاریخچه، پیشینه، داستان",گزارش یا شرح روایی رویدادی در گذشته
"mind, head, brain, psyche, nous",that which is responsible for one's thoughts and feelings; the seat of the faculty of reason,"ذهن، فکر",آن‌چه مسئول افکار و احساسات فرد است. محل قرار گیری منطق
"walk, take the air",take a walk; go for a walk; walk for pleasure,"پیاده روی کردن، قدم زدن",راه رفتن برای لذت بردن
"calculate, cipher, cypher, compute, work out, reckon, figure",make a mathematical calculation or computation,"محاسبه کردن، حساب کردن، حل کردن، شمردن",انجام یک مسئله ریاضی
tea,a beverage made by steeping tea leaves in water,چای,نوشیدنی‌ای که از خیساندن برگ‌های چای در آب تهیه می‌شود
"floor, flooring",the inside lower horizontal surface (as of a room or hallway),"زمین، کف",سطح افقی پایینی داخل یک مکان (به عنوان یک اتاق یا راهرو)
trail,a track or mark left by something that has passed,"دنباله، رد",نشانی‌ای که از یک چیز باقی مانده
"health, wellness",a healthy state of wellbeing free from disease,"سلامتی، تندرستی",یک وضعیت سالم و بدون بیماری
water,a fluid necessary for the life of most animals and plants,آب,مایعی ضروری برای زندگی اکثر حیوانات و گیاهان
disease,an impairment of health or a condition of abnormal functioning,"بیماری، مرض، ناخوشی",اختلالی در سلامتی یا عملکرد غیرطبیعی بدن
"universe, existence, creation, world, cosmos, macrocosm",everything that exists anywhere,"جهان، هستی، خلقت، عالم، گیتی، دنیا، آفرینش، کیهان","""هر چیزی که در هر جایی وجود دارد"""
"crawl, creep",move slowly; in the case of people or animals with the body near the ground,خزیدن,به آرامی حرکت برای انسان‌ها یا حیواناتی که زمینشان در نزدیکی زمین است
"apt, clever",mentally quick and resourceful,"باهوش، زیرک، زرنگ، با استعداد",از لحاظ ذهنی سریع و مدبر
grow,increase in size by natural process,"رشد کردن، درآمدن",افزایش اندازه به‌صورت طبیعی
"ability, power",possession of the qualities (especially mental qualities) required to do something or get something done,"توانایی، قابلیت",داشتن ویژگی‌های (خصوصا ویژگی‌های ذهنی) مورد نیاز برای انجام کاری
"year, twelvemonth, yr",a period of time containing 365 (or 366) days,سال,دوره زمانی‌ای شامل ۳۶۵ (یا ۳۶۶) روز
"child, kid, youngster, minor, shaver, nipper, small fry, tiddler, tike, tyke, fry, nestling",a young person of either sex,"کودک، بچه، طفل، خردسال، جوانک",یک شخص جوان از هر جنسیتی
tremble,move or jerk quickly and involuntarily up and down or sideways,لرزیدن,تکان خوردن یا حرکت کردن به سرعت و غیر ارادی به سمت بالا و پایین یا به سمت چپ و راست
"shudder, shiver, throb, thrill","tremble convulsively, as from fear or excitement",gap,تکان خوردن به شکل متشنج از روی ترس یا هیجان
"measure, mensurate, measure out","determine the measurements of something or somebody, take measurements of",اندازه‌گیری,مشخص کردن اندازه چیزی یا کسی
"son, boy",a male human offspring,پسر,فرزند مذکر انسان
dust,fine powdery material such as dry earth or pollen that can be blown about in the air,"گرد و غبار، خاک",مواد پودرمانند ریز خشک که در می‌توانند در هوا پخش شوند و بر روی اجسام قرار گیرند
air,a mixture of gases (especially oxygen) required for breathing; the stuff that the wind consists of,هوا,ترکیبی از گازها (مخصوصا اکسیژن) که برای تنفس لازم‌اند; مواد تشکیل دهنده باد
people,(plural) any group of human beings (men or women or children) collectively,"مردم، انسان‌ها",(جمع) هر گروهی از انسان‌ها (مردان یا زنان یا کودکان) به صورت جمعی
"thread, yarn",a fine cord of twisted fibers (of cotton or silk or wool or nylon etc.) used in sewing and weaving,"نخ، رشته، ریسمان",طناب ظریفی از الیاف پیچ خورده (پنبه یا ابریشم یا پشم یا نایلون و غیره) که در خیاطی و بافندگی استفاده می‌شوند
"body, organic structure, physical structure",the entire structure of an organism (especially an animal or human being),"بدن، جسم، پیکر، تن",کل ساختار یک موجود زنده (به ویژه حیوان یا انسان)
"stir, shift, budge, agitate",move very slightly,جم خوردن,حرکت خیلی کم
"calendar month, month",one of the twelve divisions of the calendar year,"ماه، برج",یکی از دوازده بخش سال در تقویم
"january, jan",the first month of the year; begins 10 days after the winter solstice,ژانویه,اولین ماه سال که ۱۰ روز پس از شروع زمستان شروع می‌شود
"earth, ground",the loose soft material that makes up a large part of the land surface,gap,موادی شل و نرم که بخش بزرگی از سطح زمین را تشکیل می‌دهد
"stay, stay on, continue, remain","continue in a place, position, or situation",ماندن,از یک مکان یا موقعیت یا شرایط جا به جا نشدن
"february, feb",the month following January and preceding March,فوریه,ماه پس از ژانویه و پیش از مارس
"march, mar",the month following February and preceding April,مارس,ماه پس از فوریه و پیش از آوریل
"april, apr",the month following March and preceding May,آوریل,ماه پس از مارس و پیش از می
may,the month following April and preceding June,می,ماه پس از آوریل و پیش از ژوئن
"capture, catch","capture as if by hunting, snaring, or trapping",gap,"گرفتن با شکار، به دام انداختن یا تله گذاری"
june,the month following May and preceding July,ژوئن,ماه پس از می و پیش از جولای
july,the month following June and preceding August,جولای,ماه پس از ژوئن و پیش از آگوست
tasty,pleasing to the sense of taste,"خوشمزه، خوش طعم",حس چشایی‌ای که خوش‌آیند باشد
"august, aug",the month following July and preceding September,"اوت، آگوست",ماه پس از جولای و پیش از سپتامبر
"hang, hang up",cause to be hanging or suspended,"آویزان کردن، آویختن",دلیل و بانی آویزان شدن یا معلق شدن
"september, sep, sept",the month following August and preceding October,سپتامبر,ماه پس از آگوست و پیش از اکتبر
bitter,one of the four basic taste sensations; sharp and disagreeable; like the taste of quinine,تلخ,یکی از چهار حس اصلی چشایی; تیز و نامطلوب; مانند کافئین
hang,be suspended or hanging,"آویزان شدن، آویخته شدن",در حالت آویختگی گذاشتن یک چیز و بر روی هوا گذاشتن آن درحالی که توسط یک جسم دیگر نگه داشته شده است و نمی‌افتد
"october, oct",the month following September and preceding November,اکتبر,ماه پس از سپتامبر و پیش از نوامبر
"november, nov",the month following October and preceding December,نوامبر,ماه پس از اکتبر و پیش از دسامبر
"december, dec",the last (12th) month of the year,دسامبر,آخرین (دوازدهمین) ماه سال
crow,black birds having a raucous call,کلاغ,پرنده‌ای است دارای پرهای سیاه و سفید و منقار سیاه که حشرات و جانوران کوچک را شکار می‌کند و صدایی خشن دارد
win,be the winner in a contest or competition; be victorious,"برنده شدن، پیروز شدن، بردن",برنده بودن در یک مسابقه
spirit,the vital principle or animating force within living things,روح,آن‌چه مایه زندگی جانداران می‌شود و حیات بخش پدیده‌های جهان است
fat,having much flesh (especially fat),چاق,دارای جسم زیاد و بزرگ (خصوصا چربی)
"ripen, mature",cause to ripen or develop fully,"رسیده شدن، رشد کردن، جا افتادن",
"thin, lean",lacking excess flesh,"لاغر، نازک",فاقد جسم و بدن زیاد یا کافی
different,unlike in nature or quality or form or degree,"متفاوت، مختلف، متمایز",یکسان نبودن از لحاظ ماهیت یا کیفیت یا شکل یا درجه
fork,cutlery used for serving and eating food,چنگال,ابزاری از لوازم میز غذاخوری دارای دسته و سه یا چهار دندانه که جهت سرو و خوردن غذا استفاده می‌شود
walk,use one's feet to advance; advance by steps,"راه رفتن، قدم زدن",استفاده از پاهای خود برای حرکت کردن; پیش رفتن قدم به قدم
"ring, band",jewelry consisting of a circlet of precious metal (often set with jewels) worn on the finger,"انگشتر، حلقه",جواهر دایره‌ای شکل و فلزی که روی انگشت پوشیده می‌شود
turn,"change orientation or direction, also in the abstract sense",gap,
"end, last, final stage",the concluding parts of an event or occurrence,"پایان، انتها، آخر، سرانجام، اختتامیه",بخش اختتامی و نهایی یک رویداد
"church, church building",a place for public (especially Christian) worship,کلیسا,مکانی برای عبادت به‌صورت عمومی (خصوصا مسیحیان)
"bracing, brisk, energizing, energising, fresh, refreshing, refreshful, tonic",imparting vitality and energy,"نیروبخش، فرح‌بخش، نشاط‌ انگیز، طراوت بخش",انتقال دهنده نشاط و انرژی
"digest, endure, stick out, stomach, bear, stand, tolerate, support, brook, abide, suffer, put up",put up with something or somebody unpleasant,"تحمل کردن، طاقت آوردن، تاب آوردن، کنار آمدن",نسبت به چیزی یا کسی ناخوشایند کنترل خود را حفظ کردن
other,not the same one or ones already mentioned or implied,"دیگر، سایر، غیر، باقی",چیزی متفاوت از آنچه (یا چیزهایی که) قبلا ذکر شده یا به آن اشاره شده
"deity, divinity, god, immortal",any supernatural being worshipped as controlling some part of the world or some aspect of life or who is the personification of a force,"خدا، الله، خداوند",موجود یا موجودات فراطبیعی‌ای که به عنوان کنترل‌کننده یا ایجاد کننده بخشی از جهان یا جنبه‌هایی از زندگی پرستیده می‌شوند و نماد و مظهر نوعی قدرت و نیروی فراطبیعی‌اند
"filth, crud, skank",any substance considered disgustingly foul or unpleasant,"کثیفی، کثافت، آلودگی",هر ماده‌ای که منزجرکننده یا ناپسند یا ناخوشایند به نظر آید
"misfortune, bad luck, tough luck, ill luck",an unfortunate state resulting from unfavorable outcomes,"بدشانسی، بدبختی، سیاه بختی",یک وضعیت ناگوار که از گرفتن نتایج نامطلوب به وجود آمده است
raw,not treated with heat to prepare it for eating,"خام، نپخته",به آن به اندازه کافی گرما جهت آنکه آماده خوردن شود داده نشده است
"road, route",an open way (generally public) for travel or transportation,"جاده، راه، مسیر، خیابان، طریق",یک مسیر (معمولا عمومی) برای سفر یا حمل و نقل
meat,the flesh of animals (including fishes and birds and snails) used as food,گوشت,گوشت یک حیوان (شامل ماهی‌ها و پرندگان و حلزون‌ها نیز می‌شود) که به عنوان غذا استفاده می‌شود
"put, set, place, pose, position, lay",put into a certain place or abstract location,"قرار دادن، گذاشتن، جای دادن","""در یک مکان خاص منتقل کردن یک چیز"""
"male child, boy",a youthful male person,"پسر، پسربچه",یک شخص جوان مذکر (متضاد دختر)
"medicine, medication, medicament, medicinal drug",(medicine) something that treats or prevents or alleviates the symptoms of disease,"دارو، دوا",چیزی که علائم بیماری و خود بیماری را معالجه می‌کند یا از آن‌ها پیشگیری می‌کند یا آن‌ها را کاهش می‌دهد
"pile, heap, mound, agglomerate, cumulation, cumulus",a collection of objects laid on top of each other,"توده، کپه، انبوه",مجموعه‌ای از اجسام که بر روی یکدیگر قرار دارند
steal,take without the owner's consent,"به سرقت بردن، دزدیدن، ربودن، دستبرد زدن، سرقت کردن",برداشتن و بردن چیزی بدون رضایت مالک آن
damage,inflict damage upon,"آسیب زدن، خراب کردن، خسارت زدن",وارد کردن آسیب به
"choose, take, select, pick out","pick out, select, or choose from a number of alternatives","انتخاب کردن، برگزیدن، جدا کردن، برداشتن",از میان چند گزینه و حالت موجود یکی یا چند تا از آن‌ها را پسندیدن و باقی را کنار گذاشتن
"repair, mend, fix, bushel, doctor, furbish up, restore, touch on",restore by replacing a part or putting together what is torn or broken,"تعمیر کردن، اصلاح کردن، مرمت کردن، ترمیم کردن، درست کردن، رفع کردن",بازسازی کردن چیزی با جایگزین کردن یک قطعه از آن یا وصل کردن بخش‌هایی که از یکدیگر جدا شده‌اند یا شکسته‌اند
"man, adult male",an adult person who is male (as opposed to a woman),مرد,یک شخص بالغ مذکر (متضاد زن)
thick,not thin; of a specific thickness or of relatively great extent from one surface to the opposite usually in the smallest of the three solid dimensions,"کلفت، ضخیم","مخالف نازک; دارای ضخامتی خاص یا دارای وسعت نسبتا زیاد از یک سطح تا سطح مقابل، معمولا از طرف کوچکترین بعد موجود"
sad,experiencing or showing sorrow or unhappiness,"غمگین، غمناک، اندوهناک، محزون، ناراحت",تجربه کردن یا نشان دادن غم و اندوه و ناراحتی
grain,1/7000 pound; equals a troy grain or 64.799 milligrams,دانه,۱/۷۰۰۰ پوند; برابر با یک انس تروا یا ۶۴.۷۹۹ میلی‌گرم
thin,of relatively small extent from one surface to the opposite or in cross section,"نازک، باریک، لاغر، نحیف",چیزی یا کسی با وسعت نسبتا کم; مخالف چاق و فربه
hare,swift timid long-eared mammal larger than a rabbit having a divided upper lip and long hind legs; young born furred and with open eyes,خرگوش صحرایی,پستاندار چابک گوش دراز ترسو ای که از خرگوش بزرگتر است و لب بالایی‌اش به دو نیم تقسیم شده است و پاهای عقبی‌اش بلند است; هنگام تولد پشمالو و با چشمانی باز است
fine,thin in thickness or diameter,gap,
"piece, slice",a serving that has been cut from a larger portion,"قطعه، تکه، بخش، قاچ",
fat,a soft greasy substance occurring in organic tissue and consisting of a mixture of lipids (mostly triglycerides),چربی,یک ماده لزج که در بافت آلی بدن وجود دارد و از مخلوطی از لیپیدها (خصوصا تری گلیسیرید) تشکیل شده است
"companion, comrade, fellow, familiar, associate",a person who is frequently in the company of another,gap,
"misplace, mislay, lose",place (something) where one cannot find it again,گم کردن,گذاشتن در جایی که کسی نتواند دوباره پیدایش کند
campfire,a small outdoor fire for warmth or cooking (as at a camp),gap,یک آتش کوچک در فضای باز برای گرما یا پختن غذا
"gay, jocund, jolly, jovial, merry, mirthful",full of or showing high-spirited merriment,"خوش، فرحناک، بشاش، با نشاط، خوشحال، شاد، مسرور، سرخوش، شادمان، سرمست، خرم، خندان، خوشنود",
"family, family unit",primary social group; parents and children,خانواده,هسته اصلی اجتماع; والدین و فرزندان
"flower, bloom, blossom",reproductive organ of angiosperm plants especially one having showy or colorful parts,"گل، شکوفه",عضو تولید مثلی و تکثیر گیاهان که از برگ‌های تغییر شکل یافته به وجود آمده است
"dense, heavy, impenetrable",permitting little if any light to pass through because of denseness of matter,gap,ماده‌ای که به دلیل چگالی بالای خود اجازه می‌دهد نور کمی از آن عبور کند
mouse,any of numerous small rodents typically resembling diminutive rats having pointed snouts and small ears on elongated bodies with slender usually hairless tails,موش,نوعی جونده پستاندار چارپای کوچک که پوزه‌ای نوک تیز و گوش‌هایی کوچک و دمی باریک و معمولا بدون مو دارد و در همه جای جهان یافت می‌شود
believe,accept as true; take to be true,"باور کردن، باور داشتن، اعتقاد داشتن، معتقد بودن، ایمان داشتن",قبول داشتن یک چیز به عنوان حقیقت; واقعی دانستن یک چیز
roof,a protective covering that covers or forms the top of a building,"سقف، بام، پشت بام، طاق",پوششی محافظتی که بالای ساختمان را تشکیل می‌دهد یا آن را می‌پوشاند
"climb, climb up, mount, go up",go upward with gradual or continuous progress,"بالا رفتن، صعود کردن",بالا رفتن در یک فرایند تدریجی یا متداوم
"fall, autumn",the season when the leaves fall from the trees,"پاییز، فصل پاییز",فصلی که برگ‌ها زرد و قهوه‌ای می‌شوند و از درختان می‌افتند و با پایان تابستان شروع و با شروع زمستان تمام می‌شود
"summer, summertime",the warmest season of the year; in the northern hemisphere it extends from the summer solstice to the autumnal equinox,"تابستان، فصل تابستان",گرم ترین ماه سال که با پایان بهار شروع و با آغاز پاییز تمام می‌شود
"spring, springtime",the season of growth,"بهار، فصل بهار",فصل رشد که با پایان زمستان شروع و با آغاز تابستان تمام می‌شود
"correct, right",free from error; especially conforming to fact or truth,"صحیح، درست، حق",بدون خطا; به‌خصوص مطابق با واقعیت و حقیقت
"winter, wintertime",the coldest season of the year; in the northern hemisphere it extends from the winter solstice to the vernal equinox,زمستان,سردترین فصل سال; در نبمکره شمالی زمین از انتهای پاییز شروع می‌شود و ابتدای بهار تمام می‌شود
"rain, rain down",precipitate as rain,"باران، بارندگی، بارش",ریزش باران
grass,narrow-leaved green herbage: grown as lawns; used as pasture for grazing animals; cut and dried as hay,چمن,گیاهی با برگ کشیده و باریک و طویل و سبز تیره و دارای گلبرگ‌های موازی: برای چریدن حیوانات استفاده می‌شود و به عنوان یونجه آن را می‌برند و خشک می‌کنند
"wealth, wealthiness",the state of being rich and affluent; having a plentiful supply of material goods and money,"ثروت، مال، دارایی، سرمایه",حالت ثروتمند و مرفه بودن; داشتن منابع مادی و مالی فراوان
row,an arrangement of objects or people side by side in a line,"ردیف، سطر",چیدمان خاصی از اشیا یا افراد که در آن در کنار یکدیگر در یک خط قرار گرفته‌اند
run,"move fast by using one's feet, with one foot off the ground at any given time",دویدن,حرکت سریع با استفاده از پاها به این صورت که در هر لحظه یکی از پاها به زمین متصل نباشد
"ignite, light",cause to start burning; subject to fire or great heat,"مشتعل کردن، روشن کردن، آتش زدن، شعله‌ور کردن",دلیل شروع آتش; در معرض آتش یا گرمای زیاد قرار دادن
fur,a garment made of the dressed hairy coat of a mammal,خز,لباسی که از جنس پوست مودار یک پستاندار است
"celebrated, famed, far-famed, famous, illustrious, notable, noted, renowned",widely known and esteemed,"مشهور، پرآوازه، نامدار، برجسته، معروف",بسیار شناخته شده و محترم
"flip, toss, sky, pitch",throw or toss with a light motion,"پرتاب کردن، انداختن",جا‌ به جا کردن یک وسیله به شکل رها کردن آن در آسمان به سمتی خاص
bright,emitting or reflecting light readily or in large amounts,"روشن، درخشان، تابان",ساطع کننده یا بازتاب کننده نور به مقدار زیاد
hair,a covering for the body (or parts of it) consisting of a dense growth of threadlike structures (as on the human head); helps to prevent heat loss,"مو، زلف",پوششی برای بدن (یا بخش‌هایی از آن) متشکل از رشد انبوه ساختارهایی مانند نخ (مثلا بر روی سر انسان); از از دست دادن گرما جلوگیری می‌کند
step,shift or move by taking a step,"گام برداشتن، قدم برداشتن",جا‌به‌جا شدن یا حرکت کردن با برداشتن یک قدم
first,preceding all others in time or space or degree,"اول، اولین، نخست، یکم",قبل از همه از لحاظ زمانی یا مکانی یا درجه باشد
"sin, sinning",an act that is regarded by theologians as a transgression of God's will,"گناه، معصیت، خطا",عملی که افراد مذهبی آن را تخطی از خواسته خداوند می‌دانند
"drive, motor",travel or be transported in a vehicle,"رانندگی کردن، راندن",سفر کردن یا حرکت کردن درحال هدایت کردن یک وسیله نقلیه
"shine, beam","emit light; be bright, as of the sun or a light","درخشیدن، تابیدن",ساطع کردن نور; روشن بودن از طریق خورشید یا نوری دیگر
last,coming after all others in time or space or degree or being the only one remaining,"آخرین، آخر",بعد از همه از لحاظ زمانی یا مکانی یا درجه باشد یا آنکه آخرین چیز یا شخصی باشد که باقی مانده است
protect,"shield from danger, injury, destruction, or damage",محافظت کردن,"سپری دربرابر خطر، جراحت، تخریب یا آسیب بودن برای یک چیز یا یک شخص"
towel,a rectangular piece of absorbent cloth (or paper) for drying or wiping,حوله,پارچه‌ای مستطیل شکل که با آن بدن را پاک و خشک می‌کنند.
"dirt, filth, grime, soil, stain, grease, grunge",the state of being covered with unclean things,"کثیف، لک‌زده، چرکین، آلوده",حالت پوشیده شدن از چیزهای ناپاک
"forest, wood, woods",the trees and other plants in a large densely wooded area,"جنگل، بیشه، درخت‌زار",تعداد زیادی از درختان و سایر گیاهان در یک منطقه بزرگ
seed,a mature fertilized plant ovule consisting of an embryo and its food source and having a protective coat or testa,بذر,تخمک گیاهی لقاح‌یافته بالغ متشکل از گیاهک تخم و منبع غذایی آن و دارای پوشش یا بیضه محافظ و در زمین کاشته می‌شود و گیاه جدیدی از آن می‌روید
"erstwhile, former, old, onetime, quondam, sometime",belonging to some prior time,"سابق، پیشین، قدیمی",متعلق به گذشته
"reflect, shine",be bright by reflecting or casting light,"منعکس کردن، درخشیدن، تابیدن",روشنایی با انعکاس یا ایجاد نور
"defend, guard, hold",protect against a challenge or attack,"دفاع کردن، محافظت کردن",مراقبت کردن و مقابله کردن دربرابر چالش یا حمله
"fume, smoke",emit a cloud of fine particles,دود کردن,انتشار ابری از ذرات ریز
"one-half, half",one of two equal parts of a divisible whole,"یک دوم، نصف، نیم",یکی از دو قسمت مساوی یک چیز قابل نصف شدن
glass,a brittle transparent solid with irregular atomic structure,شیشه,جسمی است جامد و شفاف و شکننده که از ذوب کردن شن و آهک و مواد دیگر در کوره‌های مخصوص به شکل‌ها و اندازه‌های مختلف ساخته می‌شود و ساختار اتمی نامنظمی دارد
dye,color with dye,رنگ کردن,رنگ آمیزی
"large, big",above average in size or number or quantity or magnitude or extent,"بزرگ، درشت، هنگفت، عظیم",از نظر اندازه یا تعداد یا کمیت یا بزرگی یا وسعت بیشتر از حد متوسط
blow,be blowing or storming,وزیدن,حرکت کردن باد یا نسیم
"beard, face fungus, whiskers",the hair growing on the lower part of a man's face,ریش,موهای چانه و گونه ها
"mustache, moustache",an unshaved growth of hair on the upper lip,سبیل,موهای تراشده نشده‌ای که بالای لب بالایی می‌رویند
"wind, wrap, roll, twine",wrap or coil around,پیچاندن,
"fly, wing",travel through the air; be airborne,"پرواز کردن، بال زدن",سفر و حرکت کردن از طریق هوا
"swarm, cloud",a group of many insects,gap,تعداد زیادی حشرات
"barely, hardly, just, scarcely, scarce",by a small margin,"خیلی کم، به سختی، نزدیک بود",با اختلاف خیلی کم
"eagle, bird of jove",any of various large keen-sighted diurnal birds of prey noted for their broad wings and strong soaring flight,عقاب,نوعی پرنده بزرگ شکاری که بسیار تیزبین است و در طول روز فعالیت می‌کند و بال‌های پهن و پرواز صعودی قوی‌ای دارد
"shoot, hit, pip",hit with a missile from a weapon,"شلیک کردن، تیراندازی",اصابت گلوله از طریق یک سلاح
"sack, poke, paper bag, carrier bag",a bag made of paper or plastic for holding customer's purchases,"گونی، کیسه، خیک",کیسه‌ای از کاغذ یا پلاستیک برای نگهداری خریدهای مشتری
"diligent, persevering",quietly and steadily persevering especially in detail or exactness,"کوشا، سخت کوش، با پشتکار","کسی که حتی با وجود دشواری یا طولانی شدن روند کار و موفقیت، همچنان به کار خود ادامه می‌دهد و تلاش می‌کند."
"faineant, indolent, lazy, otiose, slothful, work-shy",disinclined to work or exertion,"تنبل، بی حال، خسته",بدون تمایل به کار یا تلاش
"dangerous, grave, grievous, serious, severe, life-threatening",causing fear or anxiety by threatening great harm,"خطرناک، خطیر، تهدید آمیز، هولناک",ایجاد کننده ترس یا اضطراب با استفاده از تهدید به آسیبی بزرگ
mirror,polished surface that forms images by reflecting light,آینه,سطح صاف و صیقل یافته شیشه ای یا فلزی که با انعکاس نور تصویر را منعکس می کند
"lodge, wedge, stick, deposit","fix, force, or implant","فرو کردن، کاشتن",محکم کردن و کاشتن چیزی با زور یا طوری دیگر در جایی
fish,catch or try to catch fish or shellfish,"ماهی‌گیری، صید ماهی",گرفتن یا تلاش برای گرفتن ماهی
"small, little",limited or below average in number or quantity or magnitude or extent,"کوچک، ریز، اندک، کم، ناچیز",از لحاظ تعداد یا مقدار یا بزرگی محدود یا کمتر از مقدار حد متوسط
"bone, os",rigid connective tissue that makes up the skeleton of vertebrates,استخوان,بافت همبند سفت و سختی که اسکلت مهره‌داران را تشکیل می‌دهد
trap,a device in which something (usually an animal) can be caught and penned,"دام، تله",وسیله‌ای که در آن چیزی (معمولا یک حیوان) را می‌توان گرفت و گیر انداخت
row,propel with oars,"پارو زدن، قایق‌رانی کردن",راندن به وسیله پاروها
"entirely, exclusively, solely, alone, only",without any others being included or involved,"کاملا، منحصرا، به تنهایی، فقط",بدون اینکه شخص دیگری دخیل باشد
squirrel,a kind of arboreal rodent having a long bushy tail,سنجاب,نوعی جانور درختی معروف که از موش بزرگتر است و از گربه کوچکتر است و موی آن بسیار نرم است و از سمور نرم تر است و دم بلند و پرپشتی دارد.
"owl, bird of minerva, bird of night, hooter",nocturnal bird of prey with hawk-like beak and claws and large head with front-facing eyes,جغد,پرنده شکاری‌ای که شبانه زیست می‌کند و منقار و پنه شاهین مانند و سر بزرگ و چشمانی رو به جلو دارد
"clean, make clean","make clean by removing dirt, filth, or unwanted substances from","تمیز کردن، پاک کردن، پاکیزه کردن",از بین بردن کثیفی و مواد ناخواسته
"hunt, run, hunt down, track down",pursue for food or sport (as of wild animals),"شکار کردن، دنبال کردن",دنبال کردن جهت غذا یا ورزش (مانند حیوانات وحشی)
water,provide with water,آب دادن,فراهم کردن آب
"wash, launder","cleanse with a cleaning agent, such as soap, and water","شستن، پاک کردن، شستشو کردن",تمیز کردن با استفاده از یک ماده پاک کننده مانند صابون و آب
"bread, breadstuff, staff of life",food made from dough of flour or meal and usually raised with yeast or baking powder and then baked,"نان، قوت",غذایی که از آردی که خمیر شده و بر آتش پخته شده به دست می‌آید
gate,a movable barrier in a fence or wall,دروازه,یک مانع متحرک مانند در که در یک حصار یا دیوار جا دارد
"collar, neckband",a band that fits around the neck and is usually folded over,دستمال گردن,پارچه‌ای که دور گردن بسته شده و معمولا گره زده می‌شود
"expect, look, await, wait",look forward to the probable occurrence of,"انتظار کشیدن، منتظر بودن، چشم داشتن، چشم به راه بودن",صبر کردن برای وقوع احتمالی یک واقعه
worker,a person who works at a specific occupation,کارگر,شخصی که در یک شغل خاص کار می‌کند
"foreign, strange",relating to or originating in or characteristic of another place or part of the world,"خارجی، بیگانه، غریب، ناآشنا",چیزی که یا منشا آن یا ویژگی‌های آن مربوط به مکان یا بخش دیگری از جهان است و مربوط به اینجا نیست
"footstep, pace, step, stride",the distance covered by a step,قدم,مسافتی که با یک قدم طی می‌شود
stir,mix or add by stirring,هم زدن,ترکیب کردن یا مخلوط کردن یا اضافه کردن به وسیله هم زدن
tooth,hard bonelike structures in the jaws of vertebrates; used for biting and chewing or for attack and defense,دندان,ساختارهای استخوانی محکمی که در فک مهره‌داران قرار دارند; جهت گاز گرفتن و جویدن یا حمله کردن یا دفاع کردن استفاده می‌شود
"always, ever, e'er",at all times; all the time and on every occasion,"همیشه، همواره، همه وقت",در تمام زمان‌ها; در تمامی وقت‌ها و در تمامی لحظات و فرصت‌ها
"never, ne'er",not ever; at no time in the past or future,"هرگز، هیچگاه، ابدا، هیچ وقت",در هیچ موقعی; در هیچ زمانی در گذشته یا حال یا آینده
comb,a flat device with narrow pointed teeth on one edge; disentangles or arranges hair,شانه,ابزاری مسطح که در یکی از لبه های خود دارای دندانه‌هایی باریک است; جهت باز کردن موها از یکدیگر یا مرتب کردنشان استفاده می‌شود
"seat, sit, sit down",show to a seat; assign a seat for,gap,مشخص کردن و اختصاص دادن یک صندلی برای
crane,large long-necked wading bird of marshes and plains in many parts of the world,درنا,پرنده‌ای گردن دراز که در دشت‌ها یا باتلاق‌ها سکونت می‌کند و در بسیاری از نقاط جهان وجود دارد
sometimes,on certain occasions or in certain cases but not always,"گاهی اوقات، گاهی، بعضی اوقات، بعضی وقت‌ها، بعضی مواقع، گاها",در زمان‌ها یا حالت‌های خاص اما نه همیشه
swim,travel through water,شنا کردن,حرکت از درون آب
"stand, stand up",be standing; be upright,"بلند شدن، ایستادن",از حالت نشسته یا خوابیده بیرون آمدن
