Indonesian Lemma,Indonesian Definition,Banjarese Lemma,Banjarese Definition
cengkaruk,penganan yg dibuat dr nasi yg dikeringkan kemudian digoreng tanpa minyak (disangrai),GAP,
gelamai,"penganan dibuat dr tepung beras pulut, gula, dan santan; dodol",GAP,
tahu susu,"produk olahan dengan bahan baku susu krim yang memiliki nilai gizi sangat baik, bentuk dan warnanya menyerupai tahu",tahu susu,Tahu yang dibuat dengan menambahkan susu kedelai. Tahu lebih lembut dan memiliki rasa yang lebih halus dibandingkan tahu biasa
kacang tolo,"kacang yang bentuknya bulat panjang, ukurannya dua kali lebih besar daripada kacang hijau, warnanya merah tua, biasa diolah menjadi campuran sayur atau camilan (Vigna unguiculata)",GAP,
pempek lenjer,"pempek yang bentuknya silinder dan panjang tanpa isian, berukuran besar atau kecil",pempek lenjer,pempek nang bantuknya panjang wan teksturnya sadikit karas
sambal terasi,"sambal yang dibuat dari cabai, tomat, garam, dan terasi",sambal acan,sambal matan acan
nasi aking,"nasi sisa yg dibersihkan, dijemur kemudian dimasak kembali",GAP,
kacang macan,"kacang tanah yang polongnya seperti kacang gajah, warna kulit bijinya merah jambu, daging biji mengandung protein dan lemak",GAP,
kue ulang tahun,kue yang disajikan pada acara ulang tahun,wadai ulang tahun,kue nang dibuat dan dihias secara khusus untuk merayakan hari ulang tahun
terigu,biji-bijian sebangsa beras (padi); gandum,terigu,"tepung/bubuk halus nang berasal dari biji gandum, dan digunakan sabagai bahan dasar pembuat kue, mi, roti, dan pasta"
pisang tongka langit,"pisang asal Maluku, bentuknya besar, berwarna kuning tua kecokelatan, berasa manis sedikit asam, buahnya tumbuh mengarah ke atas",pisang tongkat langit,"pisang nang ganal warna kulitnya kuning tua kecoklatan , rasanya manis sedikit asam"
ikan kerapu sunu,"kerapu dengan panjang mencapai 120 cm, berat 23,6 kg, umur 26 tahun (Plectopromus leopardus)",GAP,
daging merpati,daging dari burung merpati,GAP,
adonan roti,campuran dan adukan untuk membuat roti,GAP,
ikan patin jambal,"ikan air tawar yang ukurannya dapat mencapai 90 cm, tubuhnya lonjong agak pipih, tidak bersisik, bersungut kecil, punggungnya berwarna hitam keabu-abuan, tersebar di Asia Tenggara (Pangasius djambal)",iwak patin jambal,"iwak patin nang memiliki daging tebal dan gurih, sering kali diasinkan dan dijemur untuk dijadikan ikan asin jambal roti"
terigu,tepung gandum,terigu,"tepung/bubuk halus nang berasal dari biji gandum, dan digunakan sabagai bahan dasar pembuat kue, mi, roti, dan pasta"
hot dog,"roti berbentuk bulat panjang, diisi sosis goreng, dihidangkan dengan sayuran (seperti selada) dan saus tomat",GAP,
kiwi,"buah yang kulitnya berwarna cokelat kehijauan dan berbulu, dagingnya berwarna hijau dan rasanya manis, berasal dari Cina (Actinidia deliciosa)",GAP,
beras sosoh,beras yang sudah dibersihkan hingga hilang selaput bijinya,baras,hagian bulir banih gabah nang sudah dipisah matan sekam sekam jawa merang sacara anatumi disambat hagian nang ditutupi dan hagian nang manutupi
kelapa,"tumbuhan palma yg berpokok tinggi, buahnya ditutupi sabut dan tempurung yg keras, di dalamnya terdapat daging dan air; nyiur, Cocos nucifera",kalapa,Buah nang pohonnya manjulang tinggi rancak di pantai andakannya
tunas,"tumbuhan muda yang baru timbul (dari tunggul, ketiak daun, buku batang induk, batang kayu yang ditebang, dan sebagainya)",tunas,tanaman nang baru tumbuh
bakpao,kue spt roti terbuat dr terigu dng isi daging atau kacang hijau,bakpao,"makanan tradisional Tionghoa, bungkusan (baisi) daging"
kenapang,"pohon yg buahnya berkulit keras spt kemiri, rasanya spt rasa buah kenari",GAP,
kale,"sayuran dari kelompok kubis, berdaun lebar menyerupai selada, tepi daun bergelombang dan menguping di bagian tangkai yang kaku mendaging (Brassica napus var. pabularia L.)",GAP,
lada,"biji-bijian yg pedas rasanya, biasanya dipakai untuk rempah-rempah; merica",sahang,"rempah nang digunakan untuk memberikan rasa pedas pada makanan, terbuat dari biji buah lada yang dikeringkan dan digiling"
strudel,"kue berlapis yang dibuat dari pastri, diisi bermacam-macam buah",GAP,
ercis,kacang kara,GAP,
mi celor,"mi yang dimasak dengan cara mencelupkannya sebentar ke dalam air panas berserta taoge, dimakan dengan kuah kental yang terbuat dari daging udang atau kepiting yang dilumatkan",GAP,
cucur,"penganan, dibuat dr adonan tepung beras dan gula (merah), kemudian digoreng",wadai cucur,"wadai cucur adalah wadai khas Indunisia nang rancak ditamui di macam-macam wilayah, tamasuk di Kalimantan Salatan."
tahu bakso,"tahu yang diisi adonan bakso, bisa direbus atau digoreng, biasa disajikan dengan sambal kecap atau cabai rawit",tahu bakso,"tahu yang diisi dengan adonan bakso, biasanya terbuat dari daging sapi atau ayam yang dicampur dengan bumbu-bumbu, kemudian dikukus atau digoreng"
serikaya,"penganan yg terbuat dr campuran tepung, gula, telur, dan santan",sarikaya,"kue atau hidangan penutup tradisional yang terbuat dari campuran telur, santan, dan gula, kemudian dikukus hingga matang"
pakan burung,makanan yang diberikan untuk burung,pakan burung,makanan nang diberikan kepada burung untuk memenuhi kebutuhan gizi dan kesehatannya
daging rusa,daging dari rusa,daging menjangan,daging dari rusa atau menjangan
lempuk,"penganan dibuat dr pisang, durian, dsb direbus dng gula hingga liat",lempuk,makanan tradisional nang terbuat dari daging buah durian yang dimasak dengan gula merah hingga menjadi kental dan padat
kerupuk mi,kerupuk yang berbentuk seperti mi,GAP,
gula anggur,gula dari buah anggur,GAP,
pretzel,"roti yang bertekstur keras atau lunak, biasanya berbentuk simpul longgar dengan taburan garam di atasnya",GAP,
tahu pong,"tahu goreng yang di dalamnya berongga, berbentuk segi empat",tahu pong,"Tahu pong memiliki tekstur yang renyah, sering dimakan dengan sambal."
teh celup,teh yang dikemas dalam kantong (kertas saringan) untuk sekali hidangan dengan mencelupkannya dalam air panas di gelas atau cangkir,tih celup,teh nang disajikan dalam bentuk kantong teh yang dapat dicelupkan ke dalam air panas untuk menyeduhnya
kacang mede,"biji jambu mete yang bergizi, setelah dikeringkan biasanya digoreng, dimakan sebagai camilan",GAP,
pisang goreng,penganan berupa pisang yang dicelupkan ke dalam adonan tepung kemudian digoreng,gaguduh pisang; pisang goreng,gaguduh pisang atawa sanggar pisang adalah wadai nang diulah matan pisang nang basanga nang banyak ditamu i di indonesia singapura wan malaysia makanan ngini di ulah matan buah pisang imbah dikuyak kulimbitnya ditatak tatak halus sasuai kahandak imbah ngitu dimumuri lawan adunan likat nang di ulah matan campuran galapung sadikit uyah wan gula imbah ngitu disanga dalam minyak lamak
gula ekstrinsik,"gula yang bukan merupakan bagian alami dari makanan, dapat merusak gigi dan kesehatan, banyak ditemukan pada kue-kue, keik, permen, dan biskuit",GAP,
tiram,"lokan yg kulitnya agak datar, dagingnya (isinya) lezat dimakan",tiram,kerang nang hidup di laut
bubur jagung,"bubur yang terbuat dari jagung halus, dicampur santan, gula, dan daun pandan, dimasak dengan cara direbus",GAP,
kacang banteng,"kacang tanah yang polongnya hampir sama dengan kacang gajah dan kacang macan, warna kulit bijinya merah jambu, daging biji mengandung protein dan lemak",kacang banteng,"kacang tanah nang memiliki biji lebih besar dari kacang tanah biasa, dengan rasa yang gurih dan tekstur yang renyah."
tahu cina,"tahu yang agak keras, biasanya dicetak segi empat agak besar, dibungkus dengan kain kasa, rasanya lebih enak daripada tahu biasa",tahu cina,"tahu yang bertekstur lebih padat dan halus, dan berwarna putih"
panekuk,"penganan dadar yang dibuat dari tepung terigu, gula, dan telur, diolesi selai atau pasta cokelat, lalu dilipat atau digulung",panekuk,"wadai nang dibuat dengan mencampurkan bahan-bahan seperti tepung, telur, dan gula, lalu dimasak di atas wajan datar hingga matang"
bawang putih,"terna tegak, tinggi 30-60 cm, umbinya terdiri atas batang dengan umbi-umbi kecil atau siung yang dibungkus oleh sisik-sisik kering, digunakan sebagai campuran bumbu masak dan penyedap berbagai masakan; bawang dasun (Allium ",bawang basihung,"bawang nang warnanya putih, kawa dijadikan bumbu masakan"
telur dadar,"telur ayam dan sebagainya yang dikocok, lalu digoreng",hintalu dadar,intalu dadar atawa omelet adalah variasi makanan intalu bagoreng nang disiapakan awalannya mangocok intalu wan manggorengnya lawan minyak goreng atawa mantega panas di rinjing
jeruk kuku macan,"jeruk yang rasanya pahit getir, berkulit tebal dan berbenjol-benjol yang benjolannya tersusun rapi menyerupai bentuk jari tangan yang sedang setengah menggenggam; jeruk kuku macan (Citrus medica)",GAP,
roti putih,roti tawar,ruti putih,"roti yang dibuat dari tepung terigu yang telah melalui proses penggilingan dan pemutihan, sehingga warnanya putih dan teksturnya lembut."
gula mutiara,gula kasar yang digunakan untuk menghias makanan yang dipanggang dengan oven,gula mutiara,Gula kristal kecil nang berbentuk bulat yang biasanya digunakan dalam pembuatan kue dan sebagai bahan tambahan dalam minuman.
kopi susu,air kopi yg dicampur susu,kupi susu,Kupi dibuati susu
susu kaleng,air susu lembu yang diawetkan dalam kaleng,susu kaleng,air susu lembu yang diawetkan dalam kaleng
wafer,"kue renyah, berbentuk persegi panjang, berlapis dng berbagai rasa",wafer,"makanan ringan yang terbuat dari lapisan tipis adonan yang dipanggang hingga kering, sering kali diisi dengan krim atau rasa manis berbentuk segi empat"
"rempah-rempah,",bumbu-bumbu; bermacam-macam rempah,rarampah,"bahan alami dari tumbuhan yang digunakan untuk memberikan rasa, aroma, dan warna pada masakan"
keripik kentang,keripik yang terbuat dari kentang,keripik kentang,Keripik yang diulah dari kentang
beras tumbuk,beras yang dikupas kulitnya dengan ditumbuk,GAP,
nasi tungkus,nasi yang dibungkus dengan daun pisang dan sebagainya (biasanya dalam kenduri),nasi bungkus,nasi dan lauk nang dijual dalam bungkusan daun pisang
kurma,"nama pohon palem yg buahnya dijadikan semacam manisan, Phoenix dactylifera",kurma,kurma nang memiliki kulit tipis dan daging buah yang manis serta lembut
selada,"hidangan yg dibuat dr daun selada dng mentimun, tomat, dsb, disiram dng mayones dsb",GAP,
ikan kerapu tikus,kerapu dengan ukuran panjang mencapai 70 cm (Cromileptes altivelis),GAP,
taoco,"makanan terbuat dari kedelai, yang setelah direbus dan diawetkan dengan garam, biasanya digunakan sebagai bumbu masakan",taoco,makanan nang di ulah dari kedelai nang di rebus
kentang goreng,"hidangan dari kentang yang dipotong-potong dan digoreng, biasanya disajikan di restoran cepat saji",kentang goreng,Kentang Nang digoreng
nasi detus,"nasi setengah masak (kalau dikunyah seakanakan berbunyi ""tus, tus"")",GAP,
beras ketas,bermacam-macam beras; beras petas,GAP,
meringue,"campuran putih telur dan gula yg dikocok hingga kaku, dimasak, dan digunakan untuk membuat kue",GAP,
nasi putih,nasi tanpa lauk,nasi putih,Nasi nang kada pakai apa apa
tempe lamtoro,"tempe yang dibuat dari biji kemlandingan atau lamtoro yang cukup tua, tetapi yang masih segar",GAP,
serbat,"minuman panas yg terbuat dr jahe, gula, dsb",serbat,"minuman nang di ulah wan jahe.gula,dsb"
laksa,"lauk yg mengandung banyak kuah, bercampur saus daging ayarn, dsb",laksa,"suatu hidangan mi nang asalnya tumatan Persia nang biasanya mangandung kuah wan biasanya baisi lauk (di Indunisia umumnya balauk daging hayam, hundang, hintalu hayam, wan lainnya)"
daging,bagian tubuh binatang sembelihan yg dijadikan makanan,daging,bagian hewan nang dapat dimakan
bajigur,"minuman yg dibuat dr campuran air santan, gula aren, dan kadang-kadang ditambah panili atau daun pandan",GAP,
kopi bubuk,kopi yang telah ditumbuk halus,GAP,
beras impor,beras yang sengaja diimpor dari negara lain untuk memenuhi kebutuhan beras dalam negeri,GAP,
rames,"v bercampur menjadi satu (nasi, lauk, sayur, dsb)",GAP,
getang,"tumbuhan, daunnya dapat dimakan untuk sayur, Spilalanthes acmella",GAP,
es teh,teh yang diberi es,es teh,minuman dari teh nang dibari es
ikan lele dumbo,"lele jenis unggul dengan berat dan panjang badan dua kali lipat lele biasa, hasil silangan lele jantan Afrika dengan lele betina Taiwan, berwarna kecokelat-cokelatan, bagian perutnya berwarna putih, patilnya tidak beracun, lebih agresif daripada lele biasa (Clarias gariepinus)",iwak lele dumbo,"iwak nang hidup air tawar, iwak ini dikenal dengan tubuhnya yang besar dan memiliki kumis"
gula kurma,sukrosa yang diperoleh dari buah kurma,GAP,
taoge goreng,"masakan dari taoge, oncom, dan sebagainya yang diberi bumbu taoco",taoge goreng; toge goreng,"kacambah nang digoreng bersama dengan bumbu-bumbu, bawang, kecap, dan bahan lain seperti tahu atau tempe"
cabai ceri,"cabai besar yang bentuknya seperti buah ceri, warnanya merah, dagingnya berair dan rasanya manis, tetapi ada juga yang pedas (Capsicum annuum var. annuum)",GAP,
gula halus,"gula pasir yang dihancurkan secara mekanis sehingga tidak ada kristal-kristal yang tertinggal, biasanya dicampur dengan sedikit pati atau bahan anti kempal untuk mencegah penggumpalan",gula halus,gula nang di tumbuk menjadi halus
bubur cemplung,"bubur yang di dalamnya dimasukkan berbagai jenis sayuran, seperti daun kelor, daun katuk, dan worte",GAP,
sengaring,"ikan yg hidup di air tawar, berwarna keperak-perakan bercampur kekuning-kuningan, hidup di dasar dan kolom perairan tropis; Tor tambra",GAP,
labu kuning,"labu yang batangnya berbulu halus, daunnya menjantung, bunganya menyerupai terompet, berwarna kuning, buahnya berkulit keras, berbentuk bulat, bulat pipih, lonjong, dan sebagainya, berwarna jingga, kemerahan, kuning, dan hijau, bijinya dapat dibuat menjadi kuaci; labu bokor; labu cermai; labu merah; labu parang (Cucurbita pepo)",labu kuning,"jenis sayuran buah nang berwarna kuning dengan daging buah yang manis dan lembut, sering digunakan dalam berbagai hidangan seperti sup, kue, dan makanan penutup"
botram,acara makan bersama yang dilakukan secara santai dan kekeluargaan dengan saling berbagi makanan yang dibawa dari rumah masing-masing,GAP,
jeruk dekopon,"jeruk asal Jepang, berwarna kuning, daging buah berwarna jingga, tidak memiliki biji (Citrus sinensis)",GAP,
bawang hitam,"bawang putih segar yang telah difermentasi selama beberapa waktu pada suhu tinggi dengan kelembapan tinggi, tidak berbau menyengat, berwarna hitam, berasa manis, bertekstur kenyal seperti jeli",GAP,
gula aren,gula dari nira enau,gula habang,"sagala macam gula nang diulah matan nira, yaitu cairan nang dikaluarakan matan tumat kambang puhun matan kulawarga palma, nangkaya nyiur, hanaw, wan siwalan"
minuman selamat datang,minuman untuk tamu yang baru datang dan akan lapor masuk,GAP,
beras giling,beras yang dikupas dengan mesin penggiling,baras giling,baras nang tekstur lebih halus dari beras yang lain
susu murni,"susu yang masih asli, seperti pada saat diperah dan belum dicampur dengan bahan",susu murni,susu nang masih murni balum bacampur apa apa
konsentrat,mineral berharga yang dipisahkan dari bijih setelah mengalami pengolahan tertentu,GAP,
kecap inggris,"kecap yang terbuat dari campuran cuka, molases, gula jagung, dan sebagainya, rasanya sedikit asin",GAP,
lada putih,"buah lada yang hampir masak, direndam dan dikupas kulitnya, lalu dijemur, rasanya kurang pedas",GAP,
pempek pistel,"pempek berbentuk menyerupai kue pastel, biasanya berisi serutan pepaya muda, tetapi ada juga yang tidak berisi; pempek pastel",GAP,
kers,"nama pohon dan buahnya, rasa buahnya manis, Prunus",GAP,
nanas,"tanaman, buahnya berbentuk bulat panjang, kulit buahnya bersusun sisik, daunnya berserat dan berduri pd kedua belah sisinya, daging buahnya berwarna kuning atau putih kekuningkuningan, rasanya manis atau manis agak asam",kenas,
ikan,"binatang bertulang belakang yg hidup dl air, bernapas dng insang",iwak,anggota vertebrata poikilotermik (badarah dingin) nang hidup di banyu wan bahinak lawan ingsang
sambal,"makanan penyedap yg dibuat dr cabai, garam, dsb yg ditumbuk, dihaluskan, dsb",sambal,"makanan penyadap nang mangampuni rasa padas, diulah matan cabai nang ditumbuk, dilanikkan, dan sebagainya"
beras petas,bermacam-macam beras,GAP,
melinjo,"buah pohon bentuknya lonjong kecil-kecil warna kulitnya hijau, kuning dan merah, buahnya berkulit keras sbg bahan emping; Gnetum gnemon",balinju; malinju,"ngaran tanaman nang tamasuk ka dalam kalumpuk Gymnospermae (bigi tatukup) nang baasal matan banua Asia trupis, melanesia lawan Pasifik Barat"
tahu takwa,"tahu yang padat dan gurih, berbentuk segi empat, biasanya berwarna kuning",tahu takwa,tahu nang bawarna kuning padat dan gurih berbentuk segi empat
makanan beku,makanan yang diawetkan dengan proses pembekuan sehingga tahan lama,GAP,
has luar,"has dari bagian bawah tulang iga, terdiri atas bagian otot yang keras, harganya lebih murah daripada has dalam, biasanya digunakan sebagai bahan membuat steik",GAP,
lobak,"sayuran yg umbinya berwarna putih bulat panjang, dapat digunakan sbg sayur mayur; Raphanus sativus",lobak,"sayuran nang memiliki bentuk panjang dan warna putih atau merah, dengan rasa yang sedikit pedas"
tempe turi,tempe yang dibuat dari biji turi tua dan sudah kering,GAP,
es pisang ijo,"minuman dingin berupa pisang ambon yang dibalut dengan tepung berwarna hijau, dikukus, dan dipotong-potong, lalu dibubuhi sirop rasa pisang ambon, bubur santan, dan serutan es",GAP,
beras patah,beras yang pecah sehingga bentuknya tidak utuh,GAP,
kue balok,"kue tradisional khas Jawa Barat yang berbentuk menyerupai balok, terbuat dari bahan utama terigu, telur, gula, dan susu, dapat dipanggang maupun dikukus, bertekstur menyerupai bolu, tetapi lebih padat, tersaji dalam berbagai rasa",GAP,
kacang dal,tumbuhan kacang kayu (Cajanus indicus) ,GAP,
uli,penganan yg dibuat dr ketan; menguli v meremas-remas (adonan dsb),uli,makanan yang terbuat dari ketan yang dimasak dan dipadatkan nang berbentuk bulat atau persegi
es goyang,"es berbahan dasar santan, gula pasir, perasa makanan, dan hunkue, dibekukan dengan cara digoyang-goyangkan dalam gerobak, memiliki varian rasa cokelat, vanila, dan stroberi, biasa disajikan dengan lapisan cokelat cair atau kacang tanah cincang",GAP,
es cendol,"minuman yang terbuat dari campuran cendol, air gula merah, santan, dan es batu",es cendol,"minuman yang berisi cendol, gula habang, Pandan, santan dan es batu"
jeruk,"buah jeruk, isinya beberapa ulas, rasanya asam dan ada pula yang manis",limau,buah warna jingga nang rasanya asam
teh kotak,air teh yang telah dibubuhi gula dan dikemas dalam kotak karton untuk diperdagangkan,GAP,
marsepen,"manisan terbuat dr campuran gula, putih telur, dan buah badan yg digiling yg dibuat menjadi adonan dng pelbagai bentuk dan warna",GAP,
sirop jagung,sirop yang berbahan dasar hasil hidrolisis pati jagung,sirop jagung,cairan manis yang terbuat dari sari jagung dan digunakan sebagai pemanis dalam berbagai makanan dan minuman
jamur putih,"jamur konsumsi menyerupai kelopak bunga, berwarna putih, dapat diolah menjadi hidangan manis, campuran es, dan tumisan setelah direndam dengan air hingga teksturnya lunak (Tremela fuciformis)",GAP,
ragi,"benda atau zat yg dibuat dr beras dsb untuk membuat tapai, arak, adonan roti, dsb",GAP,
aspartam,pemanis buatan berkalori rendah dengan kemanisan 160 kali gula sukrosa yang digunakan sebagai bahan tambahan makanan,GAP,
kubis,"kol (nama sayuran yg duduk daunnya sangat berdekatan sehingga daunnya merupakan bola besar), Brassica oleracea",GAP,
jambu biji,"buah jambu yang di dalam dagingnya terdapat biji kecil-kecil, dagingnya berwarna merah atau putih; biawas (Psidium guajava)",jambu batu,"tanaman tropis nang baasal matan Brazil, disebarkan ke Indunisia melalui Thailand"
tar,"kue yg dibuat dr tepung terigu, gula, mentega, telur, dsb berbentuk bulat dng ukuran besar",GAP,
oncom merah,oncom yang umumnya dibuat dari bungkil tahu kedelai yang telah diambil proteinnya dan didegradasi menggunakan jamur Neurospora sitophila (warna merah berasal dari jamur tersebut),oncom merah,salah satu jenis oncom yang terbuat dari campuran bungkil kacang tanah dan bungkil tahu. Ciri khasnya adalah warna kemerah-merahan pada bagian yang ditumbuhi kapang
nasi goreng,nasi yg diberi bumbu dan digoreng,nasi goreng; nasi basanga,Nasi yang digoreng pakai bumbu
kuini,"mangga yg sedap baunya dan halus dagingnya, embacang, Mangifera odorata",kuini,"buah tropis lonjong besar dengan kulit halus, daging buah aromatik berair, dan biji berbulu besar"
jamur kancing,"jamur konsumsi berbentuk hampir bulat seperti kancing, berwarna putih bersih, krem, atau cokelat muda, memiliki aroma unik, berasa agak manis, bebas lemak, kaya vitamin dan mineral, rendah kalori (Agaricus bisporus)",GAP,
oncom,"tempe bercendawan yang dibuat dari bungkil kacang (ampas kacang tanah setelah diambil minyaknya), sering dicampurkan ampas tahu atau ampas tapioka, dan dicendawankan dengan jamur oncom atau dengan ragi bulat",oncom,"makanan nang diulah dari bahan fermentasi ampas tahu, bungkil kacang tanah, atau bungkil kelapa"
nasi gila,"nasi putih yang dicampur dengan berbagai pugasan yang dimasak terpisah, seperti telur, bakso, sosis, dan daging ayam",GAP,
teh tarik,"minuman khas Melayu yang terbuat dari campuran teh hitam, gula, dan susu, dibuat dengan cara memindahkan campuran teh pada dua gelas besar secara bergantian sehingga seperti ditarik",tih tarik,
randang,makanan yg terbuat dr sagu; merandang v membuat randang,randang,nama semacam makanan matan sagu dimasak dengan santan dan gula merah
risoles,"penganan yang terbuat dari kulit risoles, diisi kentang, wortel, daging ayam, dan sebagainya, lalu digulung, ditaburi tepung panir, kemudian digoreng",risoles,"penganan kecil berbentuk gulungan yang diisi dengan daging, sayuran, atau keju, dibalut dengan adonan tepung, dan digoreng hingga renyah"
tahu kediri,"tahu yang padat, berasal dari Kediri berbentuk segi empat, biasanya berwarna kuning atau putih",tahu kediri,Tahu nang bawarna kuning dan lebih padat dari pada tahu biasanya
mi instan,mi yang setelah dimasak sekejap sudah siap untuk dimakan,mi instan,"mi nang sudah dimasak sebelumnya dan dikeringkan, serta biasanya disertai dengan bumbu yang dikemas secara terpisah"
putih telur,bagian telur yang putih warnanya,putih hintalu,bagian hintalu nang bewarna putih
nasi samin,nasi yg dicampur dng minyak samin,nasi samin,nasi yang dimasak dengan minyak samin
tempe gembus,"tempe yg dibuat dr ampas kelapa, kedelai, dsb;",GAP,
melon,"terna merambat yang termasuk suku Cucurbitaceae, batang bersegi dan berbulu, bersulur, berdaun menjantung, berbunga kuning, buah bervariasi (bentuk, tekstur, warna) (Cucumis melo)",GAP,
tahu gunting,"makanan yang terbuat dari tahu goreng, ketupat, bihun, dan kerupuk yang dibumbui bumbu kacang yang berkecap, tahunya dipotong-potong dengan menggunakan gunting",tahu gunting,"Tahu goreng yang dipotong-potong menggunakan gunting, disajikan dengan bumbu kacang"
beronang,"ikan laut atau payau, berbentuk hampir bulat telur, hidup di perairan tropis; Siganus vermiculatus",GAP,
kacang merah,"kacang yang berwarna merah, bijinya besar-besar banyak mengandung vitamin (Phaseolus vulgaris) ",GAP,
beras dagang,beras yang diimpor,GAP,
ikan dori,"ikan laut yang dapat ditemukan hampir di seluruh dunia, bertubuh dalam, tetapi tipis, bermata dan bermulut besar, biasa terdapat di perairan laut dalam, sebagian besar berasal dari famili Zeidae",GAP,
jus buah,sari buah buah,jus buah,Buah nang diulah minuman
adas sowa,"tanaman tahunan yang beraroma menyerupai peterseli, tingginya dapat mencapai 1-2 m, daunnya berbentuk runcing, biasa digunakan utuh atau dicincang untuk ditaburkan pada hidangan (Anethum gra",GAP,
teri,"ikan laut kecil-kecil, tergolong marga Stolephorus",teri,iwak nang halus bawarna putih
es krim persik,es krim dengan rasa persik,GAP,
susu mentah,air susu yang belum diolah,susu mentah,susu nang masih mantah
nasi kepal,"nasi yang dikepal, biasanya berisi daging ayam, ikan, dan sebagainya",GAP,
hati soang,hati dari soang,GAP,
ayam karage,"masakan khas Jepang berupa ayam goreng dengan bumbu marinasi berupa kecap asin, parutan jahe, bawang putih, dan sebagainya yang dilumurkan pada daging ayam sebelum dibaluri tepung",GAP,
sambal ulek,sambal yang cara pembuatannya menggunakan ulek,GAP,
jamur tiram raja,"jamur konsumsi berasa sedikit manis, berbentuk panjang membulat mencapai 3-12 cm, bertudung abu-abu, berbatang tebal, bertekstur kenyal (Pleurotus umb",GAP,
nasi liwet,nasi yg ditanak saja (tanpa dikukus),GAP,
daging berteduh,daging yang tebal di kaki depan kerbau (lembu),GAP,
jagung manis,kultivar jagung yang memiliki kadar gula 4-8 kali lebih tinggi daripada jagu,jagung manis,"Jagung nang memiliki rasa manis dan lebih lembut dibandingkan dengan jagung biasa, sering digunakan dalam berbagai hidangan dan sebagai camilan"
pakan anjing,makanan yang diberikan untuk anjing,pakan anjing,makanan yang diberikan kepada anjing untuk memenuhi kebutuhan gizi dan kesehatannya
daging eceran,daging potongan kecil untuk dijual eceran,GAP,
dendeng,sayatan daging yg dirempahi dan dikeringkan,dendeng,
bubur ayak,"bubur dari tepung beras yang dicampur seledri, bawang goreng, dan penyedap",bubur baayak,wadai matan tepung beras nang diayak
ceri,"pohon yg buahnya bundar kecil spt anggur, setelah matang berwarna merah atau kuning dan enak dimakan, Muntingia calabura",GAP,
tahu tek,"masakan khas Surabaya yang terbuat dari potongan tahu goreng, kentang, tempe, tauge, dan telur, kemudian dicampur dengan sambal kacang dan petis",tahu tek,"tahu nang di goreng dan ketupat potong, di siram bumbu kacang di dampingin sama telur kocok"
air,"cairan jernih tidak berwarna, tidak berasa, dan tidak berbau yang diperlukan dalam kehidupan manusia, hewan, dan tumbuhan yang secara kimiawi mengandung hidrogen dan oksigen",banyu,
sereal,bahan makanan siap saji yang biasanya terbuat dari biji-bijian seperti gandum atau jagung,sereal,makanan yang terbuat dari biji-bijian nang di campur dengan susu
rendang,"lauk dibuat dr daging (sapi, ayam, dsb) yg dirempah-rempahi dan dimasak",rendang,nama semacam makanan matan sagu dimasak dengan santan dan gula merah
gula jawa,gula dari nira nyiur atau aren,gula habang,"sagala macam gula nang diulah matan nira, yaitu cairan nang dikaluarakan matan tumat kambang puhun matan kulawarga palma, nangkaya nyiur, hanaw, wan siwalan"
tapioka,tepung pati ubi kayu,tapioka,tepung nang di ulah dari ubi kayu
kapucino,"kopi yang terbuat dari campuran espreso dan susu, di atasnya terdapat busa susu, biasanya disajikan dalam cangkir kopi",GAP,
bawang putih lanang,bawang putih tunggal,Bawang tunggal,Bawang yang tunggal
daging babi,daging dari babi,GAP,
pasta,"bahan makanan yang dibuat dari terigu dicampur air dan telur, bentuknya bermacam-macam, ada yang pipih panjang seperti lembaran dan ada yang bulat panjang seperti pipa",pasta,"makanan yang terbuat dari adonan tepung terigu dan air yang dibentuk menjadi berbagai bentuk, seperti spaghetti, fusilli, atau penne, dan biasanya dimasak dengan cara direbus"
mi tek-tek,"mi yang dimasak dengan tumisan bumbu, dicampur dengan sayuran, irisan daging, telur, dan sebagainya, bisa disajikan berkuah ataupun kering",mi tek-tek,"mi nang digoreng atau direbus, biasanya dengan tambahan sayuran, telur, dan daging serta bumbu khas yang gurih"
ayam nanking,"masakan ayam khas Cina yang terbuat dari potongan filet ayam yang dilapisi adonan udang, dibalur dengan kocokan telur dan tepung panir, lalu digoreng hingga matang kecokelatan, biasanya disajikan dengan saus gurih bercampur kacang polong",GAP,
nasi kunyit,nasi yg dimasak dng santan dan diberi air kunyit supaya kuning,nasi kuning,nasi kuning adalah makanan khas indunisia masakan ngini diulah matan nasi nang dimasak basamaan lawan kunyit wan santan wan bumbu bumbu dengan ditambahi bumbu bumbu dan santan nasi kuning baisi rasa nang labih masin daripada nasi putih
air soda,minuman terbuat dari air yang mengandung gas karbon (dioksida),banyu soda,banyu nginum nang dikarbonasi
jamur merang,"cendawan yang enak dimakan, tumbuh dari merang atau sekam padi (Volvaria volvacea)",GAP,
bubur jali,"bubur khas Betawi berbahan buah jali yang dimasak dengan gula merah, garam, santan, dan daun pandan",GAP,
gula dekorasi,gula kasar yang digunakan untuk menghias makanan yang dipanggang dengan oven,GAP,
belut,"ikan air tawar dan payau, berbentuk memanjang, hidup di dasar perairan tropis dan berlumpur, tersebar di perairan sungai dan lembah wilayah Asia; Monopterus albus",walut,sakalompok iwak babantuk mirip ular nang tamasuk dalam suku Synbranchidae
