Lemma,Gloss,Banjarese lemmas (or gap),Banjarese Gloss
"sweep, broom",sweep with a broom or as if with a broom,sapu,manyapu denga sapu
beat,hit repeatedly,pukul,rancak mamukul
"allege, aver, say",report or maintain,padah,mamadahakan
"dwell, live, inhabit",inhabit or live in,tinggal,tinggal
herd,"keep, move, or drive animals",mengambala,mengembala
"pass, hand, reach, pass on, turn over, give",place into the hands or custody of,unjuk,unjuk ke orang
"wish, wish well",feel or express a desire or hope concerning the future or fortune of,baharap,marasa
"name, call",assign a specified (usually proper) proper name to,ngaran,manatapakan nama
"desire, want",feel or have a desire for; want strongly,handak,baharap kuat
"mail, post, send",cause to be directed or transmitted to another place,kirim,andak kalain
knock,rap with the knuckles,katuk,mangatuk
sell,exchange or deliver for money or its equivalent,jual,manukar uang
add,"make an addition  (to); join or combine or unite with others; increase the quality, quantity, size or scope of",tambah,maulah atau manggabungakan supaya labih banyak
"chew the fat, shoot the breeze, chat, confabulate, confab, chitchat, chatter, chaffer, natter, gossip, jaw, claver, visit",talk socially without exchanging too much information,"mangunyah lamak, manimbak angin, bapandiran, maigut",kada tapi bapandiran
"travel, go, move, locomote","change location; move, travel, or proceed",bajalanan,bapindah tampat
understand,know and comprehend the nature or meaning of,mangarti,tahu di arti
whistle,utter or express by whistling,paluit,manyampaiakan pakai siul
"understand, read, interpret, translate",make sense of a language,"mangarti, mambaca, maartiakan",mangarti bahasa
pay,"give money, usually in exchange for goods or services",bayar,mambari duit gasan bahurup lawan barang
"groan, moan, sough","indicate pain, discomfort, or displeasure","mangaluh, mangaras",manampaiakan rasa kada nyaman
"know, cognize, cognise",be cognizant or aware of a fact or a specific piece of information; possess knowledge or information about,"tahu, pinandu, sadar",tahu atau sadar infurmasi
"roar, howl","make a loud noise, as of wind, water, or vehicles","maraung, manggaraung",mangaluarakan suara karas
"discontinue, stop, cease, give up, quit, lay off",put an end to a state or an activity,setop,ampih maanu sasuatu
"pay, pay off, make up, compensate",do or give something to somebody in return,"mambayari, malunasi ",mambariakan ka urang gasan imbalan
thunder,to make or produce a loud noise,guntur,suara nyaring dari hujan
"howl, wrawl, yammer, yowl","cry loudly, as of animals",manggaraung,kuciakan khas binatang
"learn, larn, acquire",gain knowledge or skills,"mandapatakan, balajar",mandapat ilmu
bark,make barking sounds,manggunggung,suara barisik anjing
milk,take milk from female mammals,manyusu,diolah dari hewan mamalia
"run, go, pass, lead, extend","stretch out over a distance, space, time, or scope; run or extend between two points or beyond a certain point","bukah, tulak, oper, ",kada bagana
"go, go away, depart",move away from a place into another direction,tulak,bapindah dari wadah sini ke wadah lain
"kiss, buss, osculate","touch with the lips or press the lips (against someone's mouth or other body part) as an expression of love, greeting, etc.",mancium,menjapai dengan bibir 
"lick, lap",pass the tongue over,manjilat,manjilat malalui ilat
donate,give to a charity or good cause,manyumbang,mangaluarkan harta gasan tujuan baik
"remember, retrieve, recall, call back, call up, recollect, think",recall knowledge from memory; have a recollection,"maingati, maambil, maingati pulang, memikirakan",maingati yang sudah belalu
"forget, block, blank out, draw a blank",be unable to remember,"biarkan, kosongakan",kada usah diingat
"catch, grab, take hold of",take hold of so as to seize or restrain or stop the motion of,"manangkap, maraih, meingkuti",menahani sesuatu
"stop, halt","come to a halt, stop moving",setop,ampih begarak
"better, improve, amend, ameliorate, meliorate",to make better,"maningkatakan, mengubah, membaiki",gasan jadi labih baik
leave,"go and leave behind, either intentionally or by neglect or forgetfulness",maninggalakan,sengaja ditinggal atau kada ingat
"decay, crumble, delapidate",fall into decay or ruin,"jabuk,",jabuk gugur 
"decompose, rot, molder, moulder",break down,"buruk,",buruk karena lapuk
"bite, seize with teeth","to grip, cut off, or tear with or as if with the teeth or jaws","igut,",meigut sesuatu
press,exert pressure or force to or upon,"tikin,",manikin
"pull, draw, force",cause to move by pulling,"cabut,",manyabut
"transport, carry","move while supporting, either in a vehicle or in one's hands or on one's body","hangkut,",baangkut
"pluck, plunk, pick",pull lightly but sharply with a plucking motion,"jatu,manjatu,",manjatu sesuatu
"push, force",move with force,mahirit,mahirit sesuatu lawan tanaga
"lug, tote, tug",carry with difficulty,"hanggus,",manarik ngalih
read,interpret something that is written or printed,"mangaji,",mambaca ulang yang tatulis
"conserve, preserve, maintain, keep up","keep in safety and protect from harm, decay, loss, or destruction",haragu,mamalihara sagan malindungi
"dry, dry out",become dry or drier,"karing,",manjamur hagan karing
"rock, sway, shake",move back and forth  or sideways,"guyang,",bagulak kesana kemari
"think, cogitate, cerebrate","use or exercise the mind or one's power of reason in order to make inferences, decisions, or arrive at a solution or judgments",damhati,maingatakan suatu hal
"rock, sway",cause to move back and forth,"gutak,",baisir
"find, regain",come upon after searching; find the location of something that was missed or lost,mandapat,menjumput sesuatu yang gugur
"walk, take the air",take a walk; go for a walk; walk for pleasure,"bakujuk,",maukur jalan; bekujuk
"calculate, cipher, cypher, compute, work out, reckon, figure",make a mathematical calculation or computation,"mahitung,",mangali
"crawl, creep",move slowly; in the case of people or animals with the body near the ground,"tingkaung,",batingkaung di bawah
grow,increase in size by natural process,"manumbuhakan,",betumbuh; tanaman
tremble,move or jerk quickly and involuntarily up and down or sideways,"bagantar,",bagarak karena gantar
"shudder, shiver, throb, thrill","tremble convulsively, as from fear or excitement","gair,",gair karena sesuatu
"measure, mensurate, measure out","determine the measurements of something or somebody, take measurements of","maukur,",mangira jarak
"stir, shift, budge, agitate",move very slightly,bagisir,bagarak sadikit
"stay, stay on, continue, remain","continue in a place, position, or situation","tinggal,maninggalakan,",bagisir kalain
"capture, catch","capture as if by hunting, snaring, or trapping","kacak,",manangkap
"hang, hang up",cause to be hanging or suspended,"manggantung,",mandaday sesuatu
hang,be suspended or hanging,"gantung,",badaday
win,be the winner in a contest or competition; be victorious,paharat,harat dalam hal sesuatu
"ripen, mature",cause to ripen or develop fully,"apu, masak",jadi tuha
walk,use one's feet to advance; advance by steps,bajalan,manggarak akan maju batis
turn,"change orientation or direction, also in the abstract sense",biluk,bapaling arah
"digest, endure, stick out, stomach, bear, stand, tolerate, support, brook, abide, suffer, put up",put up with something or somebody unpleasant,"mancarna, batahan, bacungkul, parut, badiri, awang, dangani, mandarita, tekor, mamasang",tatap bagana
"put, set, place, pose, position, lay",put into a certain place or abstract location,"maandak, maatur, wadah",mambujuri andakan
steal,take without the owner's consent,mancuntan,maambil ampun urang
damage,inflict damage upon,rakai,kada manyatu
"choose, take, select, pick out","pick out, select, or choose from a number of alternatives","baipi, jumput",manantukan pilihan
"repair, mend, fix, bushel, doctor, furbish up, restore, touch on",restore by replacing a part or putting together what is torn or broken,"mambaiki, manjapai",mamparbaiki nang rakai
"misplace, mislay, lose",place (something) where one cannot find it again,"salah tampat, salah andak, kahilangan","kada ingat maandak, manyarah"
believe,accept as true; take to be true,parcaya,kawa diharap
"climb, climb up, mount, go up",go upward with gradual or continuous progress,"manaiki, mamanjat",banaik kaatas
"rain, rain down",precipitate as rain,"ujan, ari ujan",banyu turun pada rakun
run,"move fast by using one's feet, with one foot off the ground at any given time",bukah,bajalan capat
"ignite, light",cause to start burning; subject to fire or great heat,"cucul, gilap","tabakar kana api, tarang"
"flip, toss, sky, pitch",throw or toss with a light motion,"balik, tawak, rakun, hamput",manawak sakira baparak
step,shift or move by taking a step,bajajak,kada bagana
"drive, motor",travel or be transported in a vehicle,"bakandaraan, bahonda",tulak mamakai kandaraan
"shine, beam","emit light; be bright, as of the sun or a light","girap, galagar",tarang
protect,"shield from danger, injury, destruction, or damage",manjaga,malindungi
"reflect, shine",be bright by reflecting or casting light,"mancarminkan, mangilap",jadi sama parsis
"defend, guard, hold",protect against a challenge or attack,"hantay,bajaga, kacak",malawan akan
"fume, smoke",emit a cloud of fine particles,palak,sasak bahinak
dye,color with dye,pawarna,maubah warna
blow,be blowing or storming,maniup,udara angin
"wind, wrap, roll, twine",wrap or coil around,"angin, babat, halung, pulait","tasimpuni, talilit, ampih bahambur"
"fly, wing",travel through the air; be airborne,"tarabang, halar",malayang
"shoot, hit, pip",hit with a missile from a weapon,"timbak, catuk",kana sarangan
"lodge, wedge, stick, deposit","fix, force, or implant","pondok, baji, tongkat","mambaiki, mamaksa, mananamakan"
fish,catch or try to catch fish or shellfish,iwak,mandapatakan iwak
row,propel with oars,mangayuh,manunjul pakai pengayuh
"clean, make clean","make clean by removing dirt, filth, or unwanted substances from",barasihi,maulah nang rigat jadi barasih
"hunt, run, hunt down, track down",pursue for food or sport (as of wild animals),"bagarit, bukah, malacak",menyasah makanan
water,provide with water,banyu,menyediakan banyu
"wash, launder","cleanse with a cleaning agent, such as soap, and water",mambasuh,mambarasihi pakai sabun lawan banyu
"expect, look, await, wait",look forward to the probable occurrence of,"baharap, hawas, hadang",mananti kejadian baik
stir,mix or add by stirring,maharu,maaduk imbah dicampur
"seat, sit, sit down",show to a seat; assign a seat for,baduduk,manunjukakan wadah duduk
swim,travel through water,bakunyung,bajalanan di banyu
"stand, stand up",be standing; be upright,badiri,badiri tegak
lie,"be lying, be prostrate; be in a horizontal position",barabah,maandak awak ka bawah pusisi bahiring
dive,swim under water,banyalam,bakunyung di bawah banyu
"jump, leap, bound, spring",move forward by leaps and bounds,"baluncat, taikat, ",bagarak maju laju
cut,separate with or as if with an instrument,tatak,dipisah lawan nang lain
"rise, lift, arise, move up, go up, come up, uprise",move upward,"naik, anggung, cungul",muncul ka atas
"set, go down, go under",disappear beyond the horizon,"maatur, turun, turun ka bawah",mahilang ke arah bawah
eat,take in solid food,makan,maisi parut
fall,descend in free fall under the influence of gravity,gugur,turun ka bawah
"drink, imbibe",take in liquids,"kinum/nginum, nyerap",masukakan cairan ka parut
"raise, lift, elevate, get up, bring up",raise from a lower to a higher position,"maanggung, angkat, tinggi",maubah dari pusisi bawah ka atas
saw,cut with a saw,gergaji,gasan menatak nang karas
"invite, ask over, ask round",invite someone to one's house,"manyarui, batakun",maundang urang ka rumah
"tumble, topple","fall down, as if collapsing",runtuh,gugur hancur
drop,to fall vertically,gugur,gugur arah ke bawah
drop,let fall to the ground,tagugur,sasuatu guguur ka bawah
fry,cook on a hot surface using fat,manyanga,maulah sesuatu yang panas
"destroy, ruin",destroy completely; damage irreparably,marahai,marahai rumah
